Ερώτηση;Α;Β;Γ;Δ;Σωστή
"30. Όταν εφαρμόζεται η συνήθης νομοθετική διαδικασία, στη μεγάλη πλειοψηφία των περιπτώσεων:";α. Το Συμβούλιο και το Ευρωπαϊκό Κοινοβούλιο καταλήγουν σε συμφωνία μετά την πρώτη ανάγνωση ή στην αρχή της δεύτερης;β. Το Συμβούλιο υιοθετεί τις θέσεις του με ομοφωνία;γ. Όλες οι πολιτικές ομάδες στο Ευρωπαϊκό Κοινοβούλιο καταλήγουν σε συμφωνία;"δ. Προκειμένου να επιτευχθεί συμφωνία; συγκροτείται επιτροπή συνδιαλλαγής";Α
31. ΔΕΝ συμμετέχει στο Ευρωπαϊκό Συμβούλιο:;α. Ο Πρόεδρος της Γαλλικής Δημοκρατίας;β. Ο Υπουργός Οικονομικών της Ελλάδας;γ. Ο ομοσπονδιακός Πρωθυπουργός του Βελγίου;δ. Ο Πρόεδρος της Ευρωπαϊκής Επιτροπής;Β
32. Δικαίωμα συμμετοχής στις εκλογές για την ανάδειξη των μελών του Ευρωπαϊκού Κοινοβουλίου έχουν όσα φυσικά πρόσωπα:;α. Κατοικούν στην επικράτεια ενός κράτους-μέλους;β. Είναι πολίτες της Ένωσης;γ. Είναι πολίτες της Ένωσης ή κατοικούν στην επικράτεια ενός κράτους-μέλους;δ. Είναι πολίτες της Ένωσης ή έχουν αναγνωρισθεί ως δικαιούχοι διεθνούς προστασίας από ένα κράτος-μέλος;Β
33. Ποια από τις ακόλουθες λειτουργίες ΔΕΝ αποτελεί λειτουργία του Ευρωπαϊκού Κοινοβουλίου;α. Η κύρωση των τροποποιητικών συνθηκών της Συνθήκης για την Ευρωπαϊκή Ένωση (ΣΕΕ) και της Συνθήκης για την Λειτουργία της Ευρωπαϊκής Ένωσης (ΣΛΕΕ);β. Η έγκριση των συνθηκών προσχώρησης νέων κρατών μελών στην Ευρωπαϊκή Ένωση;γ. Η εκλογή του Προέδρου της Ευρωπαϊκής Επιτροπής.;δ. Η άσκηση δημοκρατικού ελέγχου σε όλα τα όργανα της Ευρωπαϊκής Ένωσης;Α
34. Η θητεία των μελών ποιου από τα παρακάτω όργανα της Ευρωπαϊκής Ένωσης ΔΕΝ είναι πενταετής;α. Του Ευρωπαϊκού Κοινοβουλίου;β. Της Ευρωπαϊκής Επιτροπής;γ. Της Ευρωπαϊκής Οικονομικής και Κοινωνικής Επιτροπής;δ. Του Δικαστηρίου της Ευρωπαϊκής Ένωσης;Δ
35. Η αρμοδιότητα του Δικαστηρίου της Ευρωπαϊκής Ένωσης εκτείνεται:;α. Στους περισσότερους τομείς δραστηριότητας της Ευρωπαϊκής Ένωσης, συμπεριλαμβανομένων και των δράσεων της Ευρωπαϊκής Ένωσης στο πεδίο της δικαιοσύνης και των εσωτερικών υποθέσεων";"β. Σε όλους τους τομείς δραστηριότητας της Ευρωπαϊκής Ένωσης συμπεριλαμβανομένης και της κοινής εξωτερικής πολιτικής και πολιτικής ασφάλειας";"γ. Σε όλους τους τομείς δραστηριότητας της Ευρωπαϊκής Ένωσης με την εξαίρεση της ενιαίας αγοράς";"δ. Σε όλους τους τομείς δραστηριότητας της Ευρωπαϊκής Ένωσης, με την εξαίρεση των διεθνών συμφωνιών που η Ευρωπαϊκή Ένωση συνάπτει με τρίτες χώρες στο πλαίσιο της κοινής εμπορικής πολιτικής";Α
36. Η Ευρωπαϊκή Εισαγγελία είναι αρμόδια να διερευνά, να διώκει και να παραπέμπει στη δικαιοσύνη:";α. Εγκλήματα κατά του προϋπολογισμού της Ένωσης;β. Σοβαρά εγκλήματα διασυνοριακού χαρακτήρα;γ. Οικονομικά εγκλήματα που τελεύτηκαν σε ένα κράτος-μέλος από πολίτη ή πολίτες άλλου κράτους-μέλους;δ. Εγκλήματα εναντίον αξιωματούχων και υπαλλήλων της Ευρωπαϊκής Ένωσης;Α
37. Οι δικαστές και οι γενικοί εισαγγελείς του Δικαστηρίου της Ευρωπαϊκής Ένωσης διορίζονται:; α. Από το Ευρωπαϊκό Συμβούλιο μετά από διαβούλευση με επιτροπή που γνωμοδοτεί για την επάρκεια των υποψηφίων";β. Με κοινή συμφωνία των κυβερνήσεων των κρατών-μελών μετά από διαβούλευση με επιτροπή που γνωμοδοτεί για την επάρκεια των υποψηφίων; γ. Από ειδική επιτροπή που αποφαίνεται για την επάρκεια των υποψηφίων;"δ. Από το Συμβούλιο μετά από διαβούλευση με το Ευρωπαϊκό Κοινοβούλιο και με επιτροπή που γνωμοδοτεί για την επάρκεια των υποψηφίων";Α
38. Εάν εθνικό δικαστήριο θεωρεί ότι διάταξη κανονισμού της Ευρωπαϊκής Ένωσης παραβιάζει διάταξη του Χάρτη θεμελιωδών δικαιωμάτων της Ευρωπαϊκής Ένωσης υποχρεούται να:;α. Ακυρώσει τη διάταξη του κανονισμού;β. Αφήσει ανεφάρμοστη τη διάταξη του κανονισμού;γ. Αποστείλει σχετικό προδικαστικό ερώτημα στο Δικαστήριο της Ευρωπαϊκής Ένωσης;δ. Υποβάλει σχετική αναφορά στην Ευρωπαϊκή Επιτροπή;Γ
39. Ο Ευρωπαίος Διαμεσολαβητής επιλαμβάνεται περιπτώσεων κακής διοίκησης:;α. Εκ μέρους όλων των οργάνων της ΕΕ κατά την άσκηση των αρμοδιοτήτων τους;β. Εκ μέρους της Ευρωπαϊκής Επιτροπής κατά την άσκηση των αρμοδιοτήτων της;γ. Εκ μέρους των εθνικών οργάνων κατά την εφαρμογή του δικαίου της ΕΕ;δ. Εκ μέρους των διεθνών οργανισμών όπου είναι συμβαλλόμενο μέρος η ΕΕ;Α
40. Το Ευρωπαϊκό Σύστημα Κεντρικών Τραπεζών (ΕΣΚΤ) συγκροτείται από:;α. Τις κεντρικές τράπεζες των κρατών-μελών;β. Τις κεντρικές τράπεζες των κρατών-μελών με νόμισμα το ευρώ;γ. Την Ευρωπαϊκή Κεντρική Τράπεζα (ΕΚΤ) και τις κεντρικές τράπεζες των κρατών-μελών;δ. Την Ευρωπαϊκή Κεντρική Τράπεζα (ΕΚΤ) και τις κεντρικές τράπεζες των κρατών-μελών με νόμισμα το ευρώ;Γ
41. Στη ζώνη του ευρώ ανήκουν:;α. Όλα τα κράτη μέλη της Ευρωπαϊκής Ένωσης;β. Τα κράτη μέλη που έως την 1η Ιανουαρίου 1999 συμμετείχαν στο Ευρωπαϊκό Νομισματικό Σύστημα;γ. Όσα κράτη μέλη έχουν επιτύχει τα προβλεπόμενα από τη Συνθήκη για τη Λειτουργία της Ευρωπαϊκής Ένωσης (ΣΛΕΕ) κριτήρια σύγκλισης;"δ. Όσα κράτη μέλη έχουν επιλέξει να συμμετάσχουν; αναλαμβάνοντας τις προβλεπόμενες από τη Συνθήκη για τη Λειτουργία της Ευρωπαϊκής Ένωσης (ΣΛΕΕ) δεσμεύσεις";Γ
42. Ποιος από τους παρακάτω αποκεντρωμένους οργανισμούς της Ευρωπαϊκής Ένωσης εδρεύει στην Ελλάδα;α. Η Ευρωπαϊκή Αρχή Ασφαλίσεων και Επαγγελματικών Συντάξεων;β. Η Ευρωπαϊκή Αρχή Ελέγχου της Αλιείας;γ. Ο Ευρωπαϊκός Οργανισμός για την Ασφάλεια στη Θάλασσα;δ. Ο Οργανισμός της Ευρωπαϊκής Ένωσης για την Κυβερνοασφάλεια ;Δ
43. Ποια από τις παρακάτω ΔΕΝ είναι αρμοδιότητα του Ευρωπαϊκού Οργανισμού Συνοριοφυλακής και Ακτοφυλακής;α. Η διαχείριση των εξωτερικών συνόρων της Ευρωπαϊκής Ένωσης;β. Η αρχική ενημέρωση όσων ατόμων χρήζουν διεθνούς προστασίας ή επιθυμούν να υποβάλουν σχετική αίτηση;γ. Η παροχή θεωρήσεων σε όσους πολίτες τρίτων χωρών επιθυμούν να εισέλθουν στην επικράτεια κράτους-μέλους;δ. Η υποστήριξη των επιχειρήσεων έρευνας και διάσωσης ανθρώπων που κινδυνεύουν στη θάλασσα;Γ
44. Σε περίπτωση παραβάσεως του ενωσιακού κανόνα από κράτος μέλος, ένα άλλο κράτος μέλος:;Δεν έχει νόμιμο τρόπο αντίδρασης;β. Δικαιούται μόνο να προσφύγει στο Δικαστήριο της Ευρωπαϊκής Ένωσης κατά του κράτους μέλους;γ. Δικαιούται μόνο να προσφύγει στο Δικαστήριο της Ευρωπαϊκής Ένωσης κατά της Επιτροπής;δ. Δικαιούται μόνο να μη συμμορφωθεί αυτό το ίδιο μέχρις ότου συμμορφωθεί το πρώτο;Β
45. Πότε ένα όργανο της εθνικής διοίκησης δύναται να μην εφαρμόσει μία διάταξη ενός ενωσιακού Κανονισμού;"α. Εάν έχει εκδώσει το Δικαστήριο της Ευρωπαϊκής Ένωσης απόφαση; με βάση την οποία η διάταξη παραβιάζει το πρωτογενές ενωσιακό δίκαιο";β. Εάν κρίνει ότι η διάταξη παραβιάζει το εθνικό Σύνταγμα;γ. Εάν κρίνει ότι η διάταξη παραβιάζει το πρωτογενές ενωσιακό δίκαιο;δ. Εάν επικαλεστεί ότι οι διοικήσεις άλλων τουλάχιστον έξι κρατών-μελών δεν εφαρμόζουν τη διάταξη με το σκεπτικό ότι παραβιάζει το πρωτογενές ενωσιακό δίκαιο;Α
46. Τα κράτη μέλη υπέχουν ευθύνη αποζημίωσης στους ιδιώτες για παραβάσεις του δικαίου της Ευρωπαϊκής Ένωσης από πράξεις ή παραλείψεις:;α. Της εκτελεστικής εξουσίας;β. Της νομοθετικής εξουσίας;"γ. Της νομοθετικής και της εκτελεστικής εξουσίας; όχι όμως και της δικαστικής";δ. Οργάνων και των τριών εξουσιών;Δ
47. Οι νομοθετικές πράξεις της Ευρωπαϊκής Ένωσης:;α. Δημοσιεύονται στην Επίσημη Εφημερίδα της Ευρωπαϊκής Ένωσης και αρχίζουν να ισχύουν την εικοστή ημέρα από τη δημοσίευσή τους;"β. Δημοσιεύονται στην Επίσημη Εφημερίδα της Ευρωπαϊκής Ένωσης και αρχίζουν να ισχύουν από την ημερομηνία που ορίζουν ή, άλλως από την εικοστή ημέρα από τη δημοσίευσή τους";"γ. Κοινοποιούνται στους αποδέκτες τους και παράγουν αποτελέσματα από την ημερομηνία που ορίζουν ή άλλως από την κοινοποίησή τους";δ. Κοινοποιούνται στους αποδέκτες τους και παράγουν αποτελέσματα από την κοινοποίησή τους;Β
49. Η αρχή της επικουρικότητας ΔΕΝ αφορά:;α. Τον ρόλο των εθνικών κοινοβουλίων;β. Την άσκηση των αποκλειστικών αρμοδιοτήτων της Ευρωπαϊκής Ένωσης;γ. Τον δικαστικό έλεγχο των νομικών πράξεων της Ευρωπαϊκής Ένωσης;δ. Τη συνήθη νομοθετική διαδικασία;Β
50. Η Συνθήκη της Λισαβόνας είχε ως στόχο:;α. Να διευκολύνει τη διεύρυνση της Ευρωπαϊκής Ένωσης με τις πρώην κομμουνιστικές χώρες της Ανατολικής Ευρώπης;"β. Να συμπεριλάβει μεγάλο μέρος των διατάξεων της Συνθήκης για τη θέσπιση Συντάγματος της Ευρώπης; της οποίας η κύρωση δεν κατέστη δυνατή";γ. Να θεσπίσει το νομικό πλαίσιο της Οικονομικής και Νομισματικής Ένωσης;δ. Να θεσπίσει το νομικό πλαίσιο της Κοινής Εξωτερικής Πολιτικής και Πολιτικής Ασφάλειας;Β
51. Η προσχώρηση της Ευρωπαϊκής Ένωσης στην Ευρωπαϊκή Σύμβαση Δικαιωμάτων του Ανθρώπου (ΕΣΔΑ):;"α. Είναι δυνατή, αλλά δεν προβλέπεται ειδικώς στις ισχύουσες Συνθήκες";β. Προβλέπεται ρητά από τη Συνθήκη της Λισαβόνας υπό τον όρο ότι η προσχώρηση δεν μεταβάλλει τις αρμοδιότητες της Ευρωπαϊκής Ένωσης όπως ορίζονται στις Συνθήκες;γ. Δεν είναι δυνατή δεδομένου ότι το Δικαστήριο της Ευρωπαϊκής Ένωσης έχει αποφανθεί ότι η Ευρωπαϊκή Ένωση δεν έχει αρμοδιότητα να προσχωρήσει στην ΕΣΔΑ;"δ. Δεν είναι δυνατή δεδομένου ότι η ΕΣΔΑ δεν επιτρέπει σε διεθνείς οργανισμούς, όπως η Ευρωπαϊκή Ένωση, να γίνουν συμβαλλόμενα μέρη";Β
52. Μετά τη θέση σε ισχύ της Συνθήκης της Λισαβόνας, από πού απορρέει η αρχή της υπεροχής του δικαίου της Ένωσης έναντι του ελληνικού δικαίου;"α. Από τη Συνθήκη για την Ευρωπαϊκή Ένωση και τη Συνθήκη για τη λειτουργία της Ευρωπαϊκής Ένωσης; όπου έχει προσαρτηθεί δήλωση η οποία παραπέμπει σε σχετική γνωμοδότηση της Νομικής Υπηρεσίας του Συμβουλίου";β. Από τη νομολογία του Δικαστηρίου της Ευρωπαϊκής Ένωσης περί της αυτονομίας και της ιδιαίτερης φύσης της έννομης τάξης της Ένωσης;γ. Από το συνδυασμό των παρ. 2 και 3 του άρθρου 28 του ελληνικού Συντάγματος;δ. Από το Πρωτόκολλο για τα προνόμια και τις ασυλίες της Ευρωπαϊκης Ενωσης;Β
53. Ποια από τις ακόλουθες προτάσεις ΔΕΝ περιγράφει ορθά τη νομική φύση της Ευρωπαϊκής Ένωσης όπως αυτή προσδιορίστηκε από το Δικαστήριο της Ευρωπαϊκής Ένωσης:;Με τις Συνθήκες τα κράτη μέλη μεταβίβασαν εξουσίες στην Κοινότητα/Ένωση και έτσι περιόρισαν, αν και σε ορισμένους μόνο τομείς, τα κυριαρχικά τους δικαιώματα;β. Οι Συνθήκες δεν δημιουργούν μόνο αμοιβαίες υποχρεώσεις μεταξύ των συμβαλλομένων κρατών, αλλά και δικαιώματα των πολιτών τους;γ. Αντίθετα προς τις συνήθεις διεθνείς συνθήκες, η Συνθήκη ΕΟΚ δημιούργησε ιδιαίτερη έννομη τάξη η οποία ενσωματώθηκε στα νομικά συστήματα των κρατών μελών;δ. Με τις Συνθήκες τα κράτη μέλη μεταβίβασαν στην Κοινότητα/Ένωση συγκεκριμένες εξουσίες, των οποίων το εύρος μπορούν να κρίνουν τα εθνικά συνταγματικά ή ανώτατα δικαστήρια;Δ
