Ερώτηση;Α;Β;Γ;Δ;Σωστή
11. Χρήζει κατά το Σύνταγμα αιτιολογίας:;α. Η επιλογή προσώπων στην ηγεσία της Δικαιοσύνης;β. Η επιλογή στις θέσεις Προέδρου και Αντιπροέδρων του Νομικού Συμβουλίου του Κράτους;γ. Η απάντηση των διοικητικών αρχών σε υποβληθείσες κατά το άρθρο 10 του Συντάγματος αναφορές;δ. Ο διορισμός και η παύση των ανώτατων διοικητικών υπαλλήλων που κατέχουν θέσεις εκτός υπαλληλικής ιεραρχίας;Γ
12. Τα έγγραφα εσωτερικής λειτουργίας, με τα οποία διαβιβάζονται δικαιολογητικά μεταξύ δημόσιων υπηρεσιών, προκειμένου να εξεταστεί αίτημα διοικουμένου/ης:";α. Συνιστούν εκτελεστές πράξεις της Διοίκησης;β. Συνιστούν ενδιάμεσες εκτελεστές πράξεις της Διοίκησης που ενσωματώνονται στην τελική πράξη;γ. Αποτελούν προϋπόθεση σύννομης έκδοσης διοικητικής πράξης;δ. Δεν συνιστούν εκτελεστές διοικητικές πράξεις;Δ
13. Στην περίπτωση απώλειας φακέλου διοικουμένου/ης με υπαιτιότητα της δημόσιας υπηρεσίας:;α. Οι προθεσμίες διεκπεραίωσης της υπόθεσης αναστέλλονται μέχρι την τελική ανασύσταση του φακέλου;β. Οι προθεσμίες τελικής διεκπεραίωσης της υπόθεσης συνεχίζουν κανονικά;γ. Καθίσταται αδύνατη η διεκπεραίωση της υπόθεσης και ο/η διοικούμενος/η δύναται να αιτηθεί αποζημιώσεως;δ. Οι προθεσμίες τελικής διεκπεραίωσης της υπόθεσης αναστέλλονται μέχρι την ολοκλήρωση της διαδικασίας αναζήτησης πειθαρχικών ευθυνών των υπαλλήλων της υπηρεσίας;Α
14. Η κλήση σε προηγούμενη προφορική ακρόαση διοικουμένου/ης ενώπιον της Διοίκησης:;"α. Κατά κανόνα είναι έγγραφη και πρέπει να αναφέρει τον τόπο, την ώρα, την ημέρα και να προσδιορίζει το αντικείμενο της ενέργειας της Διοίκησης";"β. Αρκεί και προφορική ειδοποίηση, αναφέροντας μόνο τον τόπο, την ώρα και την ημέρα";γ. Δεν είναι υποχρεωτική για τη Διοίκηση σε καμία περίπτωση έκδοσης πράξης ή επιβολής μέτρου;δ. Δεν απαιτείται να περιβληθεί κάποιον συγκεκριμένο τύπο;Α
15. Για κάθε ενέργεια της Διοίκησης απαιτείται αίτηση διοικουμένου/ης:;α. Σωστό;β. Λάθος. Η διοίκηση λειτουργεί μόνο αυτεπαγγέλτως;"γ. Όταν η υποβολή αίτησης προβλέπεται από σχετικές διατάξεις, άλλως ισχύει ο κανόνας αυτεπάγγελτης ενέργειας της διοίκησης";δ. Ακόμη και αν οι σχετικές διατάξεις δεν προβλέπουν την υποβολή της και ας έχει προηγουμένως ενεργήσει η διοίκηση αυτεπαγγέλτως;Γ
16. Η γνωστοποίηση σε διοικούμενο/η του περιεχομένου των επίσημων πρακτικών Υπουργικού Συμβουλίου:;"α. Απαγορεύεται χωρίς καμία εξαίρεση, ως ειδική κατηγορία απορρήτου";"β. Καταρχήν απαγορεύεται, ως ειδική κατηγορία απορρήτου, δύναται όμως η διοίκηση να σταθμίσει το συμφέρον του/της διοικουμένου/ης στο μέρος που τον αφορά το περιεχόμενο των πρακτικών προς το δημόσιο συμφέρον";"γ. Κατά κανόνα επιτρέπεται, εκτός αν η διοίκηση κατά άσκηση διακριτικής ευχέρειας κρίνει διαφορετικά";δ. Επιτρέπεται αλλά μόνο με επιτόπια μελέτη από τον/ην διοικούμενο/η;Β
17. Μια κανονιστική πράξη ελέγχεται:;α. Ως προς την αιτιολογία της;β. Ως προς την τήρηση των προϋποθέσεων και των όρων που θέτουν οι εξουσιοδοτικοί νόμοι βάσει των οποίων εκδίδεται;γ. Ως προς το αν έχει ασκήσει ο/η διοικούμενος/η προηγούμενο δικαίωμα ακρόασης;δ. Ως προς τη σκοπιμότητά της;Α
18. Tίθεται ζήτημα προστατευόμενης εμπιστοσύνης του/της διοικουμένου/ης από το γεγονός ότι η Διοίκηση επί μία δεκαετία ανέχεται την παράνομη στάθμευση σε μία οδό και ουδέποτε για το χρονικό αυτό διάστημα επέβαλε κλήσεις ;"α. Ναι, διότι προέχει η ασφάλεια δικαίου";"β. Ναι, διότι δημιουργήθηκε πεποίθηση στον/η διοικούμενο/η ότι νομίμως σταθμεύει στην οδό αυτή";"γ. Όχι, διότι η αρχή της προστατευόμενης εμπιστοσύνης προϋποθέτει νόμιμη συμπεριφορά εκ μέρους της Διοικήσεως";"δ. Όχι, διότι προέχει στο διοικητικό δίκαιο η αποτελεσματικότητα της διοικητικής δράσης έναντι της προστασίας του/της διοικουμένου/ης";Γ
19. Χωρεί ανάκληση της παραίτησης του/της διοικουμένου/ης από την αίτηση που υπέβαλε στη Διοίκηση για την έκδοση διοικητικής πράξης;α. Χωρεί ελεύθερα ανάκληση της παραίτησης;β. Δεν μπορεί ποτέ να γίνει ανάκληση της παραίτησης;γ. Χωρεί ανάκληση της παραίτησης μόνο με πλήρη και ειδική αιτιολογία από τον/η διοικούμενο/η;δ. Χωρεί ανάκληση της παραίτησης από την αίτηση εάν η παραίτηση είναι αποτέλεσμα πλάνης του/της διοικουμένου/ης ή απειλής που του/της ασκήθηκε;Δ
20. Οι γνωμοδοτήσεις του Νομικού Συμβουλίου του Κράτους αποτελούν:;α. Εκτελεστές διοικητικές πράξεις;β. Πράξεις ηπίου δικαίου;γ. Εκτελεστές διοικητικές πράξεις μετά την έγκρισή τους από τον/ην Υπουργό;"δ. Γνωμοδοτήσεις που δεσμεύουν την υπηρεσία, η οποία τις ζήτησε, μετά την αποδοχή τους από τον/ην αρμόδιο/α Υπουργό";Δ
21. Δημόσιος/α υπάλληλος διορίζεται χωρίς να έχει τα νόμιμα προσόντα και συμμετέχει στην έκδοση διοικητικών πράξεων. Η Διοίκηση ανακαλύπτει την παρανομία και ανακαλεί τον διορισμό:;α. Οι πράξεις οι οποίες έχουν εκδοθεί με τη συμμετοχή του/της ανωτέρω υπαλλήλου από τον διορισμό έως την ανάκληση του διορισμού του/της είναι παράνομες λόγω του παράνομου διορισμού του/της;"β. Ο παράνομος διορισμός δεν ασκεί καμία επιρροή στη νομιμότητα των πράξεων του/της ανωτέρω υπαλλήλου, βάσει της θεωρίας του de facto οργάνου";γ. Η Διοίκηση υποχρεούται να ανακαλέσει όλες τις πράξεις που έχουν εκδοθεί με τη συμμετοχή του/της ανωτέρω υπαλλήλου από τον διορισμό έως την ανάκληση του διορισμού του/της;δ. Η Διοίκηση υποχρεούται να ανακαλέσει όλες τις πράξεις που έχουν εκδοθεί με τη συμμετοχή του/της ανωτέρω υπαλλήλου από τον διορισμό έως την ανάκληση του διορισμού του μόνον εφόσον υποβάλουν σχετικό αίτημα οι αποδέκτες των παραπάνω πράξεων;Β
22. Το δικαίωμα ακροάσεως από τις διοικητικές αρχές:;"α. Δεν είναι κατοχυρωμένο, αλλά νομολογιακώς προβλεπόμενο";β. Είναι συνταγματικώς κατοχυρωμένο;γ. Είναι συνταγματικώς και νομοθετικώς κατοχυρωμένο;δ. Είναι εθιμικώς καθιερωμένο;Γ
23. Η υποχρεωτική γνώμη είναι:;α. Εκτελεστή πράξη;β. Μη εκτελεστή πράξη;γ. Διαπιστωτική πράξη;δ. Διαδικαστική ενέργεια;Α
24. Το δικαίωμα πρόσβασης στα διοικητικά στοιχεία:;"α. Δεν είναι κατοχυρωμένο, αλλά νομολογιακώς προβλεπόμενο";β. Είναι συνταγματικώς κατοχυρωμένο;γ. Είναι συνταγματικώς και νομοθετικώς κατοχυρωμένο;δ. Είναι εθιμικώς καθιερωμένο;Γ
25. Η θετική σύμφωνη γνώμη είναι:;α. Εκτελεστή πράξη;β. Μη εκτελεστή πράξη;γ. Διαπιστωτική πράξη;δ. Διαδικαστική πράξη;Β
"26. Όταν μια διοικητική πράξη εκδίδεται κατά διακριτική ευχέρεια, τούτο μπορεί να σημαίνει, μεταξύ άλλων, ότι:";α. Η διοίκηση μπορεί να επιλέξει το χρόνο έκδοσης της πράξης;β. Η διοίκηση μπορεί να επιλέξει μεταξύ περισσότερων νομίμων λύσεων;γ. Η διοίκηση μπορεί να επιλέξει εάν θα εκδόσει ή όχι μία πράξη;δ. Όλες οι λοιπές απαντήσεις;Δ
27. Σε ποια από τις κατωτέρω περιπτώσεις δεν υφίσταται δικαίωμα πρόσβασης σε έγγραφα;α. Όταν τα έγγραφα καλύπτονται από απόρρητο που προβλέπεται από ειδικές διατάξεις;β. Όταν τα έγγραφα αφορούν τις συζητήσεις του Υπουργικού Συμβουλίου;γ. Όταν τα έγγραφα καλύπτονται από απόρρητο που προβλέπεται από ειδικές διατάξεις και όταν τα έγγραφα αφορούν τις συζητήσεις του Υπουργικού Συμβουλίου;δ. Σε καμία από τις λοιπές απαντήσεις;Α
28. Σε ποια από τις κατωτέρω περιπτώσεις δύναται να αποκλεισθεί ή να περιορισθεί η αξίωση ιδιώτη για αποζημίωση από το δημόσιο;α. Στην περίπτωση της παραγραφής;β. Στην περίπτωση του συμψηφισμού;γ. Στην περίπτωση του συντρέχοντος πταίσματος του ιδιώτη;δ. Σε όλες τις λοιπές περιπτώσεις;Δ
29. Εκτελεστότητα σημαίνει ότι:;"α. Μία πράξη της Διοίκησης παράγει έννομα αποτελέσματα χωρίς άλλες προϋποθέσεις από τη στιγμή που ολοκληρώνεται";β. Η Διοίκηση μπορεί να εφαρμόσει μέσα διοικητικού καταναγκασμού;γ. Τα αρμόδια δικαστήρια διατάσσουν την εκτέλεση των διοικητικών πράξεων;δ. Εάν εκτελεστεί μία διοικητική πράξη έχει τεκμήριο νομιμότητας;Α
30. Οι κανονιστικές πράξεις της Διοίκησης:;α. Εκδίδονται δυνάμει νομοθετικής εξουσιοδότησης;β. Ελέγχονται δικαστικώς μόνον παρεμπιπτόντως;γ. Εκδίδονται από τον/ην Πρόεδρο της Δημοκρατίας;δ. Όλες οι λοιπές απαντήσεις;Α
31. Η σύνθετη διοικητική ενέργεια λέγεται έτσι επειδή:;α. Είναι περίπλοκη η αρμοδιότητα της Διοίκησης και πρέπει να τη διακρίνουμε από τις απλές ενέργειες της Διοίκησης;"β. Εκτός από τη διοικητική πράξη προβλέπεται και η έκδοση γνωμοδοτήσεων που πρέπει η Διοίκηση να λάβει υπόψη";γ. Περιλαμβάνει την έκδοση περισσότερων διοικητικών πράξεων που ομοιάζουν μεταξύ τους;δ. Περιλαμβάνει περισσότερες διοικητικές πράξεις κάθε μία από τις οποίες ενσωματώνεται στην επόμενη και όλες στην τελική διοικητική πράξη;Δ
32. Η Διακήρυξη ενός δημόσιου διαγωνισμού σημαίνει ότι:;α. Η Διοίκηση εκδίδει μια κανονιστική διοικητική πράξη που απαιτείται να τύχει δημοσιότητας;β. Η Διοίκηση δεν δεσμεύεται από την αρχή της νομιμότητας όταν θέτει τους κανόνες διεξαγωγής του Διαγωνισμού;γ. Πρόκειται για αποσπαστή ατομική διοικητική πράξη;"δ. Η Διοίκηση εκδίδει μια κανονιστική διοικητική πράξη που επιτρέπεται να αλλάζει, κατά διακριτική ευχέρεια, κατά τη διενέργεια του διαγωνισμού";Α
33. Συνιστά σύνθετη διοικητική ενέργεια:;α. Η άσκηση του δικαιώματος προηγούμενης ακρόασης;β. Η υποχρέωση λήψης της γνώμης προβλεπόμενου οργάνου;"γ. Η περίπτωση κατά την οποία για την επέλευση ενός τελικού αποτελέσματος απαιτούνται πολλές διαδοχικές πράξεις΄, η έκδοση καθεμίας εξ αυτών ωστόσο δεν είναι αναγκαία προϋπόθεση για την έκδοση της επόμενης";"δ. Για την επέλευση ενός τελικού αποτελέσματος απαιτούνται πολλές διαδοχικές πράξεις, η δε τελευταία ενσωματώνει όλες τις προηγούμενες";Δ
34. Νόσφιση εξουσίας συντελείται στην περίπτωση:;α. Έκδοσης πράξης από πρόσωπο που δεν διαθέτει την ιδιότητα του διοικητικού οργάνου;β. Που εκδίδεται πράξη κατά παράβαση των κείμενων διατάξεων;γ. Δημοσίευσης πράξης χωρίς να απαιτείται ρητά;δ. Έκδοσης διοικητικής πράξης καθ’ υπέρβαση των αρμοδιοτήτων του διοικητικού οργάνου;Α
35. De facto διοικητικό όργανο θεωρείται:;α. Όταν δεν υφίσταται πράξη διορισμού του;β. Όταν υφίσταται πράξη διορισμού του αλλά αυτή πάσχει ακυρότητας;γ. Όταν ενεργεί κατά νόσφιση εξουσίας;δ. Όταν η πράξη διορισμού του είναι ανυπόστατη;Β
36. Όταν η συγκρότηση συλλογικού οργάνου της διοίκησης προβλέπεται τριμελής, για να υφίσταται απαρτία:";α. Απαιτείται η παρουσία και των τριών μελών;β. Απαιτείται τουλάχιστον η παρουσία των δύο μελών και του/της γραμματέως;γ. Αρκεί έστω η παρουσία δύο μελών;δ. Στην πρώτη του συνεδρίαση απαιτείται παρουσία και των τριών μελών και στις μετέπειτα αρκεί η παρουσία τουλάχιστον δύο;Α
37. Απόφαση συλλογικού οργάνου διοίκησης, το οποίο διέθετε νόμιμη απαρτία, χωρίς προσέλευση όμως τακτικού του μέλους λόγω μη πρόσκλησής του, είναι:";α. Μόνο το στοιχείο της ύπαρξης νόμιμης απαρτίας αρκεί για να είναι σύννομη;β. Μη σύννομη λόγω κακής σύνθεσης του οργάνου;γ. Σύννομη εάν παρίστατο τουλάχιστον το αναπληρωματικό του μέλος;"δ. Σύννομη εάν, στην αμέσως επόμενη συνεδρίαση του οργάνου, παρευρίσκεται το τακτικό μέλος που απουσίαζε και δεν θέσει σχετική αντίρρηση επί της διαδικασίας";Β
38. Η σύγκλιση συλλογικού οργάνου διοίκησης Ν.Π.Δ.Δ. είναι υποχρεωτική εάν:;"α. Εγγράφως το αιτηθεί το 1/2 τουλάχιστον του συνόλου των τακτικών του μελών, προσδιορίζοντας και το προς συζήτηση θέμα";β. Το αιτηθεί καθ’ οιοδήποτε τρόπο το 1/3 τουλάχιστον του συνόλου των τακτικών μελών του;"γ. Εγγράφως το αιτηθεί το 1/3 τουλάχιστον του συνόλου των τακτικών μελών του, προσδιορίζοντας και το προς συζήτηση θέμα";δ. Εγγράφως το αιτηθεί το εποπτεύον του Ν.Π.Δ.Δ. όργανο;Γ
39. Η ψηφοφορία μελών συλλογικού οργάνου επί θέματος ημερήσιας διάταξης είναι:;"α. Φανερή, εκτός αν ο νόμος ορίζει διαφορετικά";"β. Μυστική, εκτός αν ο νόμος ορίζει διαφορετικά";γ. Φανερή ή μυστική ανάλογα με το είδος του προς ψήφιση θέματος;δ. Αποκλειστικά μυστική;Α
40. Στην περίπτωση ισοψηφίας μελών απόφασης συλλογικού οργάνου διοίκησης με μυστική ψηφοφορία:;"α. Φανερώνει ο/η Πρόεδρος την ψήφο του/της; η οποία και θα υπερισχύσει";β. Επαναλαμβάνεται μία ακόμη φορά η ψηφοφορία και τυχόν νέα ισοψηφία ισοδυναμεί με αποδοχή;γ. Επαναλαμβάνεται μία ακόμα φορά η ψηφοφορία και τυχόν νέα ισοψηφία οδηγεί σε νέα φανερή ψηφοφορία;δ. Επαναλαμβάνεται μία ακόμη φορά η ψηφοφορία και τυχόν νέα ισοψηφία ισοδυναμεί με απόρριψη;Δ
41. Η μη αναγραφή στο πρακτικό συλλογικού οργάνου διοίκησης της πράξης συγκρότησής του:;α. Δεν επηρεάζει τη νομιμότητα της σύνθεσης του οργάνου και ως εκ τούτου και το κύρος της απόφασης;"β. Επηρεάζει το κύρος της απόφασης του οργάνου; η οποία θα πάσχει ακυρότητας λόγω μη νόμιμης λειτουργίας του";γ. Επηρεάζει τη νομιμότητα σύνθεσης του οργάνου λόγω ουσιώδους τυπικής ελλείψεως;δ. Δεν επηρεάζει τη νομιμότητα σύνθεσης του οργάνου αρκεί σε επόμενο πρακτικό να αναγράφεται;Α
42. Σε πενταμελές συλλογικό όργανο διοίκησης, εάν κάποιο μέλος εκλείψει:";α. Δεν είναι δυνατή η λειτουργία του καθόσον δεν υφίσταται απαρτία;β. Είναι δυνατή η λειτουργία του όχι όμως πέραν του τριμήνου;γ. Είναι δυνατή η λειτουργία του μέχρι τη λήξη της θητείας του συλλογικού οργάνου;δ. Είναι δυνατή η λειτουργία του όχι όμως πέραν του διμήνου;Β
43. Η γραμματέας συλλογικού οργάνου παραλείπει να αποστείλει σε δύο τακτικά μέλη του οργάνου την πρόσκληση με την ημερήσια διάταξη για τη συνεδρίαση του οργάνου:;α. Η συνεδρίαση είναι νόμιμη εάν παρίστανται όλα τα υπόλοιπα μέλη και σχηματίζουν απαρτία;β. Η συνεδρίαση είναι νόμιμη εάν παρίστανται τα αναπληρωματικά μέλη των δύο τακτικών μελών που δεν προσκλήθηκαν;γ. Η συνεδρίαση είναι νόμιμη εάν τα δύο τακτικά μέλη παρίστανται παρόλο που δεν προσκλήθηκαν;δ. Η συνεδρίαση είναι παράνομη σε κάθε περίπτωση διότι η πρόσκληση όλων των μελών είναι ουσιώδης τύπος της διαδικασίας;Γ
44. Σε ποια από τις κατωτέρω περιπτώσεις το αποφασίζον όργανο μπορεί να εκδώσει πράξη διαφορετικού περιεχομένου από την άποψη του γνωμοδοτικού οργάνου και η πράξη αυτή να μην είναι ακυρωτέα εξ αυτού του λόγου;"α. Στην περίπτωση της θετικής σύμφωνης γνώμης, καθώς και στην περίπτωση της απλής γνώμης";β. Στην περίπτωση της αρνητικής σύμφωνης γνώμης;"γ. Στην περίπτωση της θετικής σύμφωνης γνώμης, στην περίπτωση της απλής γνώμης καθώς και στην περίπτωση της αρνητικής σύμφωνης γνώμης";δ. Σε καμία από τις λοιπές απαντήσεις;Α
45. Έκδοση πράξης κατ’ εξουσιοδότηση υπογραφής λογίζεται ως:;α. Πράξη του εξουσιοδοτούμενου οργάνου;β. Πράξη του εξουσιοδοτούντος οργάνου;γ. Πράξη του εξουσιοδοτούμενου οργάνου μέχρι την έγκριση αυτής από το εξουσιοδοτόν όργανο;δ. Πράξη του εξουσιοδοτούμενου οργάνου υποδεέστερης τυπικής ισχύος;Β
46. Πριν την έκδοση δυσμενούς για τον/η διοικούμενο/η διοικητικής πράξης κατά δέσμια αρμοδιότητα του οργάνου:;α. Οφείλει το διοικητικό όργανο να προβεί σε ερώτημα προς τον/ην ιεραρχικά προϊστάμενο/η του εάν θα πρέπει να κληθεί σε προηγούμενη ακρόαση ο/η διοικούμενος/η;β. Πρέπει ο/η διοικούμενος/η να ενημερωθεί προφορικά για την επικείμενη δυσμενή πράξη;γ. Δεν απαιτείται προηγούμενη κλήση του/της διοικουμένου/ης σε ακρόαση;δ. Απαιτείται σε κάθε ενέργεια της διοίκησης προηγούμενη κλήση του/της διοικουμένου/ης σε ακρόαση;Γ
47. Στην περίπτωση συναρμοδιότητας οργάνων για την έκδοση πράξης, η έλλειψη υπογραφής του ενός οργάνου καθιστά την πράξη:";"α. Ανυπόστατη, ως σχέδιο αυτής";β. Νομικά πλημμελή μέχρι την έγκρισή της από όργανο που είναι ιεραρχικά ανώτερο από αυτό του οποίου ελλείπει η υπογραφή;γ. Εκτελεστή;δ. Ακυρωτέα;Α
48. Η διοικητική εποπτεία:;α. Προβλέπεται από ειδικές διατάξεις;β. Δεν είναι σύννομη;γ. Τεκμαίρεται;δ. Αντιβαίνει στο Σύνταγμα;Α
49. Ο ιεραρχικός έλεγχος στη δημόσια διοίκηση:;α. Εφαρμόζεται στα υπουργεία αλλά όχι στο εσωτερικό των ΟΤΑ και άλλων ΝΠΔΔ;β. Ασκείται αποκλειστικά από τους πολιτικούς προϊσταμένους των διοικητικών υπηρεσιών;γ. Ασκείται από κάθε ιεραρχικώς προϊστάμενο πρόσωπο;δ. Ασκείται μόνον όταν προβλέπεται ειδικά από τον οργανισμό της υπηρεσίας;Γ
50. Ποιες από τις κατωτέρω αναφερόμενες περιπτώσεις περιλαμβάνονται στην έννοια του ιεραρχικού ελέγχου;α. Η περίπτωση του προληπτικού και του κατασταλτικού ελέγχου;β. Η περίπτωση του ελέγχου σκοπιμότητας και νομιμότητας;"γ. Η περίπτωση της ιεραρχικής υποκατάστασης, όταν ρητά προβλέπεται σε διάταξη νόμου";δ. Όλες οι λοιπές απαντήσεις;Δ
51. Ποιο από τα παρακάτω είναι διφυές νομικό πρόσωπο:;α. Η Ολομέλεια Δικηγορικών Συλλόγων Ελλάδας;β. Η Εθνική Αρχή Διαφάνειας;γ. Οι συνταγματικά κατοχυρωμένες Ανεξάρτητες Αρχές;δ. Η Τράπεζα της Ελλάδος;Δ
52. Οι συνταγματικά κατοχυρωμένες Ανεξάρτητες Αρχές υπόκεινται:;α. Σε ιεραρχικό έλεγχο;β. Σε κοινοβουλευτικό και δικαστικό έλεγχο;γ. Σε διοικητική εποπτεία;δ. Μόνο σε δικαστικό έλεγχο;Β
53. Όργανα Διοίκησης της Εθνικής Αρχής Διαφάνειας (ΕΑΔ) είναι το :;α. Συμβούλιο Διοίκησης και ο/η Εθνικός/ή Συντονιστής/ίστρια;β. Συμβούλιο Διοίκησης και ο/η Διοικητής/ήτρια;γ. Διοικητικό Συμβούλιο και ο/η Ειδικός/ή Γραμματέας;δ. Διοικητικό Συμβούλιο και ο/η Γενικός/ή Επιθεωρητής/ήτρια;Β
54. Ποιο ή ποια από τα κατωτέρω όργανα ασκούν συμβουλευτικές ή αποφασιστικές αρμοδιότητες για τη διοίκηση;α. Το Νομικό Συμβούλιο του Κράτους;β. Το Συμβούλιο της Επικρατείας και το Ελεγκτικό Συνέδριο;γ. Το Ελεγκτικό Συνέδριο και το Νομικό Συμβούλιο του Κράτους;"δ. Το Συμβούλιο της Επικρατείας, το Ελεγκτικό Συνέδριο και το Νομικό Συμβούλιο του Κράτους";Δ
55. Αποτελεί αρχή που διέπει τον κρατικό προϋπολογισμό:;α. Η αρχή της ενότητας;β. Η αρχή της κρατικής κυριαρχίας;γ. Η αρχή της χρηστής διοίκησης;δ. Η αρχή της προστατευομένης εμπιστοσύνης του/της διοικουμένου/ης;Α
56. Σε τι συνίσταται η κατά το Σύνταγμα μειωμένη δημοσιονομική πρωτοβουλία της Βουλής:;"α. Στη μη δυνατότητά της με πρόταση νόμου να αυξήσει σε βάρος του Δημοσίου κρατικές δαπάνες, που προορίζονται για μισθό; σύνταξη ή γενικά για όφελος κάποιου προσώπου";"β. Στην αρχή της φειδωλής διαχείρισης που πρέπει να διέπει τον προϋπολογισμό της";γ. Στην αρχή της ισοσκέλισης μεταξύ εσόδων και δαπανών του προϋπολογισμού της;δ. Όλες οι λοιπές απαντήσεις;Α
57. Το κώλυμα συμφέροντος δημοσίου/ας υπαλλήλου:;α. Δεν θίγει το κύρος της διοικητικής πράξης που εκδίδεται από τον υπάλληλο;β. Ενεργοποιείται μόνον εφόσον υποβληθεί σχετικό αίτημα εξαίρεσης από το/ην διοικούμενο/η κατά του υπαλλήλου;γ. Δεν υφίσταται όταν υπάλληλοι με στενές συγγενικές σχέσεις συμμετέχουν στο ίδιο συλλογικό όργανο της διοίκησης;δ. Ισχύει οποτεδήποτε ο/η υπάλληλος έχει έκδηλο συμφέρον από την έκβαση μιας υπόθεσης;Δ
