Ερώτηση;Α;Β;Γ;Δ;Σωστή
11. Σύμφωνα με τον νόμο 4727/2020 περί ψηφιακής διακυβέρνησης, ποιο ηλεκτρονικό δημόσιο έγγραφο από τα παρακάτω πρέπει να φέρει υποχρεωτικά τα στοιχεία του οργάνου που υπέγραψε το έγγραφο ως τελικός υπογράφων;α. Το πρωτότυπο ηλεκτρονικό δημόσιο έγγραφο;β. Το ηλεκτρονικό ακριβές αντίγραφο;γ. Το ψηφιοποιημένο ακριβές αντίγραφο;δ. Καμία από τις λοιπές απαντήσεις;Α
12. Η νομοθεσία για τη ψηφιακή διακυβέρνηση αναφέρεται στην ηλεκτρονική διακίνηση εγγράφων μεταξύ δημοσίων φορέων ως:;α. Υποχρεωτική με χρήση πιστοποιημένων συστημάτων;β. Προαιρετική για φορείς με χαμηλό τεχνολογικό εξοπλισμό;γ. Απαγορευμένη για διαβαθμισμένα δεδομένα;δ. Δευτερεύουσα λειτουργία των πληροφοριακών συστημάτων;Α
13. Στο Ευρωπαϊκό Πλαίσιο Διαλειτουργικότητας (European Interoperability Framework - EIF) διακρίνουμε δομή με τα παρακάτω επίπεδα;α. Θεσμικό, Οργανωτικό, Σημασιολογικό, Τεχνικό;β. Θεσμικό, Οργανωτικό, Σημασιολογικό;γ. Οργανωτικό, Σημασιολογικό, Τεχνικό;δ. Θεσμικό, Οικονομικό, Σημασιολογικό, Τεχνικό;Α
14. Ποια είναι η κύρια ωφέλεια της αρχής «μόνον άπαξ»;α. Μειώνει την ανάγκη για επαναλαμβανόμενη υποβολή πληροφοριών από τους πολίτες και τις επιχειρήσεις;β. Αυξάνει την πολυπλοκότητα των διαδικασιών του Δημοσίου;γ. Ενθαρρύνει την επαναληπτική υποβολή δεδομένων για την ακρίβεια των πληροφοριών;δ. Δημιουργεί επιπλέον βήματα στη διαδικασία υποβολής αιτήσεων;Α
15. Τι είναι ο αντικειμενοστρεφής προγραμματισμός;α. Προγραμματισμός με τη χρήση γραφικών αντικειμένων;β. Παράδειγμα προγραμματισμού που βασίζεται σε "αντικείμενα" που περιέχουν δεδομένα και κώδικα;γ. Προγραμματισμός μόνο για κινητές συσκευές;δ. Προγραμματισμός αποκλειστικά σε γλώσσα μηχανής;Β
16. Τι είναι μια συνάρτηση (function);α. Μια μεταβλητή που αποθηκεύει ένα σύνολο δεδομένων;β. Ένα μπλοκ κώδικα που εκτελεί μια συγκεκριμένη εργασία;γ. Ένα σχόλιο στον κώδικα;δ. Μια εντολή για την εμφάνιση κειμένου στην οθόνη;Β
17. Ποια είναι η βασική αρχή του MVC στη σχεδίαση λογισμικού;α. Model-Video-Control;β. Model-View-Controller;γ. Multiple-Vector-Calculation;δ. Memory-Virtual-Cache;Β
18. Ποια γλώσσα προγραμματισμού χρησιμοποιείται κυρίως για ανάπτυξη εφαρμογών iOS;α. Java;β. Kotlin;γ. Swift;δ. C#;Γ
19. Τι είναι το API;α. Ένας τύπος προγραμματιστικού λάθους;β. Ένα λειτουργικό σύστημα;γ. Διεπαφή Προγραμματισμού Εφαρμογών;δ. Ένα πρόγραμμα ασφάλειας;Γ
20. Τι είναι ο αλγόριθμος;α. Σειρά βημάτων για την επίλυση ενός προβλήματος;β. Τύπος παράλληλου υπολογιστή;γ. Πρόγραμμα συνεχούς αναπαραγωγής βίντεο;δ. Μηχανισμός αποθήκευσης σύνθετων δεδομένων;Α
21. Ποιο από τα παρακάτω αποτελεί παράδειγμα ενός δημόσιου blockchain;α. Το εσωτερικό σύστημα διαχείρισης της αλυσίδας εφοδιασμού μιας εταιρείας;β. Μια κεντρική βάση δεδομένων για τραπεζικές συναλλαγές;γ. Ένα αποκεντρωμένο δίκτυο κρυπτονομισμάτων ανοιχτό σε όλους;δ. Ένα ιδιωτικό κατανεμημένο καθολικό (distributed ledger) που χρησιμοποιείται στο πλαίσιο μιας κυβερνητικής υπηρεσίας;Γ
22. Ποιο είναι το πιο διαδεδομένο σύστημα διαχείρισης βάσεων δεδομένων;α. MySQL;β. Microsoft Word;γ. Internet Explorer;δ. Windows Media Player;Α
23. Ποιος είναι ο κύριος σκοπός ενός Συστήματος Ενδοεπιχειρησιακού Σχεδιασμού (ERP);α. Διαχείριση και αυτοματοποίηση επιχειρησιακών διαδικασιών μέσω μιας ενοποιημένης πλατφόρμας;β. Ανάλυση δεδομένων πελατών και δημιουργία στοχευμένων διαφημίσεων;γ. Διατήρηση ασφαλούς πρόσβασης στο εσωτερικό δίκτυο μιας επιχείρησης;δ. Παροχή αποκλειστικά εργαλείων για τη διαχείριση ανθρώπινου δυναμικού;Α
24. Ποιο είναι το βασικό πλεονέκτημα των σχεσιακών βάσεων δεδομένων;α. Ακεραιότητα δεδομένων;β. Γραφικό περιβάλλον;γ. Ταχύτητα εκτύπωσης;δ. Αναπαραγωγή πολυμεσικών δεδομένων;Α
25. Τι είναι το DBMS;α. Σύστημα Διαχείρισης Βάσεων Δεδομένων;β. Πρόγραμμα επεξεργασίας κειμένου;γ. Λογισμικό αναπαραγωγής πολυμεσικών δεδομένων;δ. Συσκευή αποθήκευσης;Α
26. Ποιο είναι το όφελος των «ανοιχτών δεδομένων»;α. Αυξάνουν την ποιότητα, την αποδοτικότητα και τη διαφάνεια των δημόσιων υπηρεσιών;β. Οδηγούν σε εξοικονόμηση κόστους;γ. Προσφέρουν μεγαλύτερη αποδοτικότητα στις διαδικασίες και την παροχή δημόσιων υπηρεσιών;δ. Όλες οι λοιπές απαντήσεις;Δ
27. Τι περιγράφει καλύτερα τον όρο «δυναμικά δεδομένα» σύμφωνα με τις διατάξεις του νόμου 4727/2020;α. Έγγραφα σε ψηφιακή μορφή που παραμένουν στατικά και δεν αλλάζουν με την πάροδο του χρόνου;β. Δεδομένα που είναι διαθέσιμα μόνο σε έντυπη μορφή και δεν μπορούν να ψηφιοποιηθούν;γ. Δεδομένα που υπόκεινται σε συχνές ή σε πραγματικό χρόνο επικαιροποιήσεις, κυρίως λόγω της μεταβλητότητας ή της ταχείας απαξίωσής τους;δ. Στατικά δεδομένα που χρησιμοποιούνται για ιστορικές αναλύσεις χωρίς ανάγκη επικαιροποίησης;Γ
28. Τι είναι η κανονικοποίηση (normalization) σε μια βάση δεδομένων;α. Διαδικασία αφαίρεσης τιμών NULL από έναν σχεδιακό πίνακα;β. Διαδικασία ελαχιστοποίησης της πλεονάζουσας πληροφορίας και βελτίωσης της ακεραιότητας των δεδομένων;γ. Μέθοδος συμπίεσης δεδομένων για αποθήκευση;δ. Διαδικασία αποκρυπτογράφησης δεδομένων;Β
29. Ποια από τις παρακάτω περιγραφές εξηγεί με μεγαλύτερη ακρίβεια τον όρο «μεταδεδομένα» (metadata);α. Δεδομένα που περιέχουν αποκλειστικά τεχνικές λεπτομέρειες αποθήκευσης και πρόσβασης, όπως διευθύνσεις μνήμης και τύπους αρχείων;β. Δομημένες πληροφορίες που περιγράφουν, εξηγούν ή διευκολύνουν την αναζήτηση, οργάνωση και διαχείριση άλλων δεδομένων;γ. Πρόσθετα δεδομένα που αποθηκεύονται σε ξεχωριστή βάση από τα κύρια δεδομένα και δεν σχετίζονται άμεσα με αυτά;δ. Πληροφορίες που χρησιμοποιούνται μόνο για την ασφάλεια και την κρυπτογράφηση των δεδομένων, χωρίς άλλη λειτουργικότητα;Β
30. Ποια είναι η κύρια λειτουργία μιας μηχανής ροής εργασιών (workflow engine);α. Διαχείριση και εκτέλεση προκαθορισμένων επιχειρηματικών διαδικασιών;β. Σχεδιασμός δικτυακών ιστοτόπων;γ. Αποθήκευση μεγάλων ποσοτήτων αδόμητων δεδομένων;δ. Βελτίωση γραφικών και κινούμενων εικόνων στον υπολογιστή;Α
31. Ποιο από τα παρακάτω είναι ένα πρότυπο για τη μοντελοποίηση επιχειρησιακών διαδικασιών;α. JPEG;β. BPMN;γ. SQL;δ. HTML;Β
32. Ποιος είναι ο κύριος ρόλος ενός διαγράμματος ακολουθίας (sequence diagram);α. Να απεικονίσει τη ροή δεδομένων σε ένα σύστημα;β. Να περιγράψει τη δομή μιας βάσης δεδομένων;γ. Να καταγράψει την αλληλεπίδραση μεταξύ αντικειμένων σε μια χρονική ακολουθία;δ. Να περιγράψει τη διεπαφή χρήστη μιας εφαρμογής;Γ
33. Ποιο από τα ακόλουθα ΔΕΝ αποτελεί λειτουργική απαίτηση (functional requirement);α. Το σύστημα πρέπει να επιτρέπει στους/στις χρήστες/τριες να δημιουργούν και να επεξεργάζονται τα προφίλ τους;β. Η εφαρμογή πρέπει να κρυπτογραφεί όλους τους αποθηκευμένους κωδικούς πρόσβασης;γ. Το σύστημα πρέπει να υποστηρίζει πολλαπλούς ρόλους χρηστών/στριών με διαφορετικά επίπεδα πρόσβασης;δ. Το σύστημα πρέπει να έχει χρόνο διαθεσιμότητας 99,9%;Δ
34. Ποιο είναι το πρωτόκολλο του ηλεκτρονικού ταχυδρομείου (email);α. SMTP;β. HTTP;γ. FTP;δ. TCP;Α
35. Ποια είναι η λειτουργία του DNS;α. Μετατροπή IP διευθύνσεων σε ονόματα τομέων και αντίστροφα;β. Κρυπτογράφηση δεδομένων;γ. Συμπίεση αρχείων;δ. Διαχείριση emails;Α
36. Ποιος είναι ο κύριος σκοπός της χρήσης μιας στρατηγικής εναλλαγής αντιγράφων ασφαλείας, όπως η μέθοδος παππού-πατέρα-γιου (GFS);α. Να διασφαλιστεί ότι διατηρείται μόνο το πιο πρόσφατο αντίγραφο ασφαλείας;β. Να διατηρούνται πολλαπλές γενιές αντιγράφων ασφαλείας για ανάκτηση με την πάροδο του χρόνου;γ. Να μειωθεί το κόστος αποθήκευσης αντιγράφων ασφαλείας;δ. Να διατηρούνται τα αντίγραφα ασφαλείας κρυπτογραφημένα;Β
37. Ποιος από τους ακόλουθους είναι ο κύριος σκοπός της εφαρμογής εξισορρόπησης φορτίου (load balancing) σε ένα πληροφοριακό σύστημα;α. Να παρακολουθεί και να καταγράφει την κυκλοφορία του δικτύου για ανάλυση ασφαλείας;β. Να διασφαλίσει ότι τα δεδομένα των χρηστών/τριών κρυπτογραφούνται κατά τη μεταφορά μεταξύ των διακομιστών;γ. Η τακτική δημιουργία αντιγράφων ασφαλείας των δεδομένων των χρηστών/τριών, ώστε να αποφεύγεται η απώλεια δεδομένων κατά τη διάρκεια βλάβης του διακομιστή;δ. Να κατανέμει ομοιόμορφα την κυκλοφορία του δικτύου σε πολλούς διακομιστές, εξασφαλίζοντας τη βέλτιστη απόδοση και διαθεσιμότητα;Δ
38. Τι είναι το bandwidth;α. Εύρος ζώνης δικτύου;β. Μέγεθος οθόνης;γ. Ταχύτητα επεξεργαστή;δ. Χωρητικότητα δίσκου;Α
39. Ποιο από τα ακόλουθα αποτελεί την «αρχή των ελαχίστων προνομίων»;α. Οι χρήστες/τριες πρέπει να έχουν διαχειριστική πρόσβαση στις συσκευές τους;β. Οι χρήστες/τριες θα πρέπει να έχουν μόνο την ελάχιστη πρόσβαση που είναι απαραίτητη για την εκτέλεση της εργασίας τους;γ. Όλα τα δεδομένα θα πρέπει να αποθηκεύονται σε κρυπτογραφημένη μορφή;δ. Τα δημόσια κλειδιά θα πρέπει να μοιράζονται μόνο με επαληθευμένους χρήστες/τριες;Β
40. Ποιος είναι ο πρωταρχικός στόχος της εμπιστευτικότητας στην ασφάλεια υπολογιστών;α. Να δημοσιοποιηθούν όλα τα δεδομένα;β. Να εξασφαλιστεί η απόδοση του συστήματος;γ. Να προστατεύονται οι ευαίσθητες πληροφορίες από μη εξουσιοδοτημένη πρόσβαση;δ. Να αυξηθεί η ταχύτητα του δικτύου;Γ
41. Ποια είναι η βασική λειτουργία της κρυπτογράφησης;α. Προστασία της εμπιστευτικότητας των δεδομένων;β. Αύξηση ταχύτητας δικτύου;γ. Διαχείριση αρχείων;δ. Συμπίεση δεδομένων;Α
42. Τι είναι το malware;α. Κακόβουλο λογισμικό;β. Πρόγραμμα προστασίας;γ. Λογισμικό backup;δ. Εργαλείο διαχείρισης;Α
43. Τι είναι το two-factor authentication;α. Διπλός έλεγχος ταυτότητας;β. Τύπος βάσης δεδομένων;γ. Πρόγραμμα γραφικών;δ. Σύστημα αρχείων;Α
44. Τι ορίζεται ως «δεδομένα προσωπικού χαρακτήρα»;α. Κάθε πληροφορία που αφορά μη ταυτοποιημένα φυσικά πρόσωπα;β. Κάθε πληροφορία που αφορά ταυτοποιημένο ή ταυτοποιήσιμο φυσικό πρόσωπο («υποκείμενο των δεδομένων»);γ. Μόνο οι αριθμοί ταυτότητας και τα ονόματα των φυσικών προσώπων;δ. Πληροφορίες που σχετίζονται αποκλειστικά με οικονομικά δεδομένα;Β
45. Ποια είναι η κύρια διαφορά μεταξύ συμμετρικής και ασύμμετρης κρυπτογραφίας;α. Η συμμετρική κρυπτογραφία είναι ταχύτερη αλλά λιγότερο ασφαλής από την ασύμμετρη κρυπτογραφία;β. Η συμμετρική χρησιμοποιεί ένα κλειδί, ενώ η ασύμμετρη χρησιμοποιεί ένα δημόσιο και ένα ιδιωτικό κλειδί;γ. Η συμμετρική κρυπτογραφία χρησιμοποιείται μόνο για αρχεία κειμένου;δ. Η ασύμμετρη κρυπτογραφία δεν μπορεί να χρησιμοποιηθεί για ασφαλή επικοινωνία;Β
46. Ποιος είναι ο κύριος σκοπός ενός CAPTCHA στην ασφάλεια ιστοσελίδων;α. Να βελτιώσει την ταχύτητα φόρτωσης της ιστοσελίδας;β. Να αποτρέψει την πρόσβαση αυτοματοποιημένων ρομπότ (bots) στις υπηρεσίες;γ. Να βελτιώσει την εμπειρία χρήστη;δ. Να κρυπτογραφήσει τα δεδομένα των χρηστών/τριών;Β
47. Ποια από τις παρακάτω δηλώσεις σχετικά με τον σκοπό της ηλεκτρονικής υπογραφής ΔΕΝ είναι σωστή;α. Χρησιμοποιείται για την ταυτοποίηση του υπογράφοντος, δηλαδή τη σύνδεση της ηλεκτρονικής συναλλαγής με το φυσικό πρόσωπο που υπογράφει;β. Εξασφαλίζει τη γνησιότητα των ψηφιακών δεδομένων;γ. Δεσμεύει τον υπογράφοντα ως προς τη συναλλαγή, αποτρέποντάς τον από το να αρνηθεί τη συμβολή του;δ. Χρησιμοποιείται για την κρυπτογράφηση των δεδομένων της συναλλαγής;Δ
48. Ποιο από τα παρακάτω αποτελεί παράδειγμα επιβλεπόμενης μάθησης (Supervised Learning);α. Ομαδοποίηση ειδήσεων ανά θέμα;β. Πρόβλεψη τιμών κατοικιών βάσει προηγούμενων δεδομένων;γ. Ανακάλυψη ανωμαλιών σε συναλλαγές χωρίς προηγούμενα παραδείγματα;δ. Εξερεύνηση δεδομένων χωρίς προκαθορισμένες κατηγορίες;Β
49. Ποιο από τα παρακάτω ανήκει στις ΜΗ επιβλεπόμενες τεχνικές μάθησης;α. Νευρωνικά δίκτυα;β. Λογιστική παλινδρόμηση;γ. Ομαδοποίηση (Clustering);δ. Γραμμική παλινδρόμηση;Γ
50. Τι κάνει ένα CNN (Convolutional Neural Network);α. Χρησιμοποιείται για την ανάλυση κειμένου;β. Χρησιμοποιείται για την ανίχνευση μοτίβων σε εικόνες;γ. Δουλεύει μόνο με ήχο;δ. Είναι αλγόριθμος γραμμικής παλινδρόμησης;Β
51. Ποιο από τα παρακάτω αποτελεί το κύριο πλεονέκτημα της Αυτο-επιβλεπόμενης Μάθησης (Self-Supervised Learning);α. Δεν απαιτεί ετικέτες ή επίβλεψη από ανθρώπους για την εκπαίδευση του μοντέλου;β. Απαιτεί την παρουσία ανθρώπου σε κάθε βήμα της εκπαίδευσης;γ. Είναι πιο αργή από τη Επιβλεπόμενη Μάθηση;δ. Χρησιμοποιεί μόνο μικρά σύνολα δεδομένων για την εκπαίδευση;Α
52. Ποιo από τα παρακάτω αποτελεί κοινή πρόκληση όταν εξετάζουμε θέματα ηθικής στον τομέα της Τεχνητής Νοημοσύνης;α. Η διασφάλιση των δεδομένων από βλάβες υλικού;β. Διασφάλιση ότι οι μηχανές έχουν συναισθήματα;γ. Πρόληψη της μεροληψίας και διασφάλιση της δικαιοσύνης στη λήψη αποφάσεων;δ. Βελτίωση της διάρκειας ζωής των μπαταριών στις συσκευές;Γ
53. Γιατί είναι σημαντική η επεξηγησιμότητα (explainability) στα συστήματα Τεχνητής Νοημοσύνης;α. Βοηθά τα μοντέλα Τεχνητής Νοημοσύνης να εκτελούνται ταχύτερα;β. Αυξάνει το μέγεθος των συνόλων δεδομένων εκπαίδευσης;γ. Εξασφαλίζει ότι οι αποφάσεις της Τεχνητής Νοημοσύνης είναι διαφανείς και κατανοητές στους ανθρώπους;δ. Εξαλείφει την ανάγκη για προεπεξεργασία δεδομένων;Γ
