Ερώτηση;Α;Β;Γ;Δ;Σωστή
11. Μία αύξηση στην τιμή ενός αγαθού με ανελαστική ζήτηση θα έχει ως αποτέλεσμα η συνολική δαπάνη των καταναλωτών για το αγαθό αυτό:;α. Να αυξηθεί;β. Να μειωθεί;γ. Να παραμείνει αμετάβλητη;δ. Να μηδενιστεί Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 37 από 69;
"12. Εάν μία ποσοστιαία αύξηση στην τιμή ενός αγαθού μειώνει κατά ένα μεγαλύτερο ποσοστό τη ζητούμενη ποσότητά του; τότε η ζήτηση για το αγαθό αυτό είναι:";α. Ανελαστική ως προς την τιμή;β. Ελαστική ως προς το εισόδημα;γ. Ελαστική ως προς την τιμή;δ. Μοναδιαίας ελαστικότητας ως προς την τιμή;
"13. Με βάση το νόμο της προσφοράς; οι μεταβλητές «προσφερόμενη ποσότητα» και «τιμή»:";α. Είναι ανεξάρτητες η μια της άλλης;β. Έχουν αρνητική σχέση;γ. Έχουν θετική σχέση;δ. Η προκύπτουσα καμπύλη έχει αρνητική κλίση;
14. Η ελαστικότητα της προσφοράς εξαρτάται από:;α. Τους παράγοντες εκείνους που προσδιορίζουν την ικανότητα του παραγωγού να αυξομειώνει την προσφερόμενη ποσότητα σε αυξομειώσεις της τιμής;β. Τη ζήτηση του προϊόντος;γ. Το εισόδημα των νοικοκυριών;δ. Το εισόδημα του παραγωγού;
15. Ποιο από τα πιο κάτω προκαλεί την μετατόπιση της καμπύλης προσφοράς στην αγορά αυτοκινήτων προς τα δεξιά;;α. Η βελτίωση της τεχνολογίας η οποία μειώνει το κόστος παραγωγής;β. Η αύξηση των μισθών των εργαζομένων στην αυτοκινητοβιομηχανία;γ. Η αύξηση του φόρου στα αυτοκίνητα;δ. Η μείωση του αριθμού των παραγωγών αυτοκινήτων;
"16. Μια μετατόπιση της καμπύλης ζήτησης για υποδήματα προς τα αριστερά; μπορεί να οφείλεται:";α. Στη χρησιμοποίηση νέων πιο βελτιωμένων μηχανημάτων στην παραγωγή υποδημάτων;β. Στη μείωση του εισοδήματος των καταναλωτών;γ. Στη μείωση του κόστους παραγωγής υποδημάτων;δ. Στην αυξημένη ένταση της επιθυμίας των καταναλωτών για αγορά υποδημάτων;
17. Τι προκαλεί μετατόπιση της καμπύλης ζήτησης προς τα δεξιά;;α. Αύξηση του εισοδήματος των καταναλωτών;β. Αύξηση της τιμής ενός συμπληρωματικού αγαθού;γ. Αύξηση του πληθυσμού;δ. Μείωση της τιμής του αγαθού Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 38 από 69;
18. Ποια από τις παρακάτω προτάσεις είναι ορθή:;α. Το πραγματικό ΑΕΠ (Ακαθάριστο Εγχώριο Προϊόν) αυξάνεται αναλογικά με το ονομαστικό ΑΕΠ;β. Το πραγματικό ΑΕΠ (Ακαθάριστο Εγχώριο Προϊόν) αυξάνεται όταν αυξάνεται το επίπεδο των τιμών;"γ. Το πραγματικό ΑΕΠ (Ακαθάριστο Εγχώριο Προϊόν) αυξάνεται όταν αυξάνεται η ποιότητα; η ποσότητα των παραγόμενων αγαθών καθώς και το επίπεδο των τιμών";δ. Καμία από τις λοιπές προτάσεις δεν είναι ορθή;
"19. Εάν σε μια οικονομία το ονομαστικό Ακαθάριστο Εγχώριο Προϊόν (ΑΕΠ) αυξήθηκε κατά 10% και ο Aποπληθωριστής του ΑΕΠ αυξήθηκε κατά 20%; το πραγματικό ΑΕΠ για εκείνο το έτος:";α. Αυξήθηκε;β. Παρέμεινε σταθερό;γ. Δεν επαρκούν τα δεδομένα για υπολογιστεί;δ. Μειώθηκε;
"20. Υποθέστε ότι το ΑΕΠ αποτελείται από μακαρόνια και γάλα. Το 2024 πωλήθηκαν 100 πακέτα μακαρόνια προς 1;50€ ανά πακέτο και 150 κουτιά γάλα προς 1€ ανά κουτί. Μπορούμε να συμπεράνουμε ότι; για το 2024; το ονομαστικό ΑΕΠ είναι:";α. 200€;β. 300€;"γ. 246;67€";δ. 600€;
"21. Αν σε μια υποθετική οικονομία; από το ένα έτος στο άλλο; όλες οι τιμές διπλασιαστούν χωρίς καμία μεταβολή στις ποσότητες; τότε:";α. Η ικανότητα της οικονομίας για ικανοποίηση των αναγκών σε αγαθά και υπηρεσίες θα διπλασιαστεί;β. Το πραγματικό ΑΕΠ της οικονομίας θα διπλασιαστεί;γ. Το ονομαστικό ΑΕΠ της οικονομίας θα διπλασιαστεί;δ. Δεν θα υπάρξει καμία μεταβολή;
22. Ένας αγρότης παράγει σιτάρι και το πωλεί σε έναν μυλωνά για 1€. Ο μυλωνάς μετατρέπει το σιτάρι σε αλεύρι και το πωλεί σε έναν αρτοποιό για 3€. Ο αρτοποιός χρησιμοποιεί το αλεύρι για να κάνει ψωμί και πωλεί το ψωμί για 6€. Η αξία που προστίθεται από τον μυλωνά είναι:;α. 1€;β. 2€;γ. 3€;δ. 6€ Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 39 από 69;
23. Οι τρεις τρόποι μέτρησης του Ακαθάριστου Εγχώριου Προϊόντος (ΑΕΠ) είναι;"α. Το ΑΕΠ ως δαπάνη; το ΑΕΠ ως εισόδημα; το ΑΕΠ ως προστιθέμενη αξία";"β. Το ΑΕΠ ως δαπάνη; το ΑΕΠ ως εισόδημα; το ΑΕΠ ως εθνικό προϊόν";"γ. Το ΑΕΠ ως πραγματικό; το ΑΕΠ ως δυνητικό; το ΑΕΠ ως ιδιωτικό";δ. Καμία από τις λοιπές απαντήσεις δεν είναι σωστή;
24. Ο αποπληθωριστής του Ακαθάριστου Εγχώριου Προϊόντος (ΑΕΠ) είναι:;α. Η σχέση των τιμών μεταξύ του τρέχοντος έτους και του έτους βάσης;β. Ο λόγος του πραγματικού προς το ονομαστικό ΑΕΠ;γ. Ο δείκτης που μετρά την αποτελεσματικότητα της δημοσιονομικής πολιτικής;δ. Ο δείκτης που μετρά την αποτελεσματικότητα της νομισματικής πολιτικής;
"25. Υποθέτοντας ότι ένα αρτοποιείο προσλαμβάνει περισσότερους εργαζομένους και καταβάλλει τους μισθούς τους καθώς και ότι οι εργαζόμενοι παράγουν περισσότερο ψωμί; το ΑΕΠ αυξάνεται σε όλες τις παρακάτω περιπτώσεις εκτός από όταν το ψωμί:";α. Πωλείται σε νοικοκυριά;β. Αποθηκεύεται για μεταγενέστερη πώληση;γ. Μένει αχρησιμοποίητο και πετιέται;δ. Πωλείται σε άλλες επιχειρήσεις;
26. Η αύξηση του πραγματικού ΑΕΠ ονομάζεται:;α. Οικονομική μεγέθυνση;β. Πλήρης απασχόληση;γ. Εισόδημα ισορροπίας;δ. Ενεργός ζήτηση;
27. Ποια είναι η διαφορά ανάμεσα σε μια ακαθάριστη επένδυση και μια καθαρή επένδυση;;α. Καθαρή επένδυση = ακαθάριστη επένδυση μείον φόρους.;β. Καθαρή επένδυση = ακαθάριστη επένδυση μείον καθαρές αμοιβές των συντελεστών παραγωγής.;γ. Καθαρή επένδυση = ακαθάριστη επένδυση μείον συσσώρευση αποθέματος.;δ. Καθαρή επένδυση = ακαθάριστη επένδυση μείον απόσβεση;
28. Όταν λέμε αύξηση των καθαρών επενδύσεων της οικονομίας εννοούμε:;α. Αύξηση του κεφαλαιουχικού εξοπλισμού της οικονομίας;β. Αύξηση των αποταμιεύσεων της οικονομίας;γ. Αύξηση του συνολικού αριθμού των μετοχών στο Χρηματιστήριο;δ. Αύξηση των ωρών λειτουργίας του κεφαλαίου σε ετήσια βάση;
"29. Ο αριθμός των ατόμων εργάσιμης ηλικίας που εντάσσονται στο μη εργατικό δυναμικό; σύμφωνα με την Ελληνική Στατιστική Αρχή; είναι ίσος με τον αριθμό:";α. Των ατόμων που δεν εργάζονται;β. Των ατόμων που δεν εργάζονται συν τον αριθμό των απασχολουμένων κάτω από πέντε ώρες την εβδομάδα;γ. Των ατόμων που έχουν συνταξιοδοτηθεί ή σπουδάζουν;δ. Των ατόμων που δεν εργάζονται ούτε αναζητούν εργασία Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 40 από 69;
30. Ως Φυσικό Ποσοστό Ανεργίας ορίζεται:;α. Η ανεργία τριβής;β. Το άθροισμα της ανεργίας τριβής και της διαρθρωτικής ανεργίας;γ. Η διαρθρωτική ανεργία;"δ. Το άθροισμα της ανεργίας τριβής; της διαρθρωτικής και της κυκλικής ανεργίας";
31. Ως Κυκλική Ανεργία αναφέρεται:;α. Η κυκλική αυξομείωση του αριθμού των εγγεγραμμένων ανέργων;β. Η ανεργία που εμφανίζεται κατά τη διάρκεια καθόδου του οικονομικού κύκλου;γ. Η ανεργία που αποκλίνει από το σημείο που αντιστοιχεί στην πλήρη απασχόληση;δ. Η αύξηση της Ανεργίας Τριβής;
32. Ο Γ. που είναι 55 ετών είναι ανειδίκευτος εργάτης σε εργοστάσιο κατασκευής χαλκού. Η επιχείρηση που εργαζόταν έκλεισε και μετακόμισε σε γειτονική χώρα με πιο ευνοϊκό φορολογικό καθεστώς. Ο Γ. είναι τυπικό παράδειγμα:;α. Κυκλικής ανεργίας;β. Μακροχρόνιας ανεργίας;γ. Διαρθρωτικής ανεργίας;δ. Ανεργίας τριβής;
33. Η Έρευνα Εργατικού Δυναμικού που διεξάγεται από την ΕΛΣΤΑΤ (Ελληνική Στατιστική Αρχή):;α. Είναι δειγματοληπτική και καλύπτει το σύνολο της χώρας;β. Είναι απογραφική και καλύπτει το σύνολο της χώρας;γ. Είναι απογραφική και διεξάγεται στις τρεις μεγάλες περιφέρειες της χώρας;δ. Είναι δειγματοληπτική αλλά ανά πενταετία απογραφική;
34. Ο ρυθμός πληθωρισμού προσδιορίζεται από:;α. Την ποσοστιαία μεταβολή του δείκτη τιμών καταναλωτή από την προηγούμενη περίοδο;β. Την ποσοστιαία μεταβολή των τιμών των ειδών διατροφής από την προηγούμενη περίοδο;γ. Την ποσοστιαία μεταβολή των τιμών των εισαγομένων προϊόντων από την προηγούμενη περίοδο;δ. Την ποσοστιαία μεταβολή του δείκτη τιμών καταναλωτή από την προηγούμενη περίοδο σε σχέση με τη μεταβολή μισθών και ημερομισθίων;
35. Σε ποια από τις παρακάτω περιπτώσεις μπορεί να προκληθεί πληθωρισμός κόστους;;α. Από την αύξηση της παραγωγικότητας της εργασίας;β. Από την αύξηση της τιμής του φυσικού αερίου;γ. Από μείωση της φορολογίας;δ. Από την αύξηση της ποσότητας χρήματος Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 41 από 69;
36. Ο πληθωρισμός κόστους:;α. Μπορεί να συνυπάρχει με την ανεργία;β. Δεν μπορεί να συνυπάρχει με την ανεργία;γ. Μπορεί να συνυπάρχει μόνον στην περίπτωση ανεργίας άνω του 15%;δ. Μπορεί να συνυπάρχει μόνον στην περίπτωση ανεργίας των νέων;
37. Ποιο από τα παρακάτω μπορεί να προκαλέσει πληθωρισμό; α. Η αύξηση της ζήτησης για αγαθά και υπηρεσίες β. Η μείωση της προσφοράς χρήματος γ. Η μείωση των κρατικών δαπανών δ. Η μείωση των εξαγωγών;;;;;
38. Ποιος είναι ο κύριος δείκτης μέτρησης του πληθωρισμού; α. Το Ακαθάριστο Εγχώριο Προϊόν (ΑΕΠ) β. Ο Δείκτης Τιμών Καταναλωτή (ΔΤΚ) γ. Το ποσοστό ανεργίας δ. Η συναλλαγματική ισοτιμία;;;;;
39. Σύμφωνα με τα στοιχεία της ΕΛΣΤΑΤ το ποσοστό των ατόμων που διαβιούν σε νοικοκυριά κάτω από το όριο της φτώχειας βρίσκεται κατά προσέγγιση στο επίπεδο του:;α. 25%;β. 20 %;γ. 10%;δ. 15%;
40. Οι εργαζόμενοι/ες που κάνουν επικίνδυνες εργασίες είναι τυπικά άτομα που:;α. Δεν μπορούν να βρουν δουλειά με καλύτερες συνθήκες;β. Πληρώνονται καλά σε σχέση με τις εναλλακτικές ευκαιρίες απασχόλησης;γ. Πληρώνονται λίγο;δ. Απολαμβάνουν τον κίνδυνο;
41. Ποιο από τα παρακάτω μέτρα ανήκει στην κατηγορία της νομισματικής πολιτικής;;α. Αύξηση του κατώτατου ημερομισθίου;β. Αύξηση των δαπανών για δημόσια έργα;γ. Ονομαστική αύξηση συντάξεων;δ. Κανένα από τα λοιπά μέτρα;
42. Η Ευρωπαϊκή Κεντρική Τράπεζα προβαίνει σε μείωση της προσφοράς χρήματος. Τότε:;α. Χρησιμοποιεί την νομισματική πολιτική για να μειώσει την συνολική ζήτηση;β. Χρησιμοποιεί την δημοσιονομική πολιτική για να μειώσει την συνολική ζήτηση;γ. Χρησιμοποιεί την νομισματική πολιτική για να αυξήσει την συνολική ζήτηση;δ. Οι μεταβολές στην προσφορά χρήματος δεν επηρεάζουν τη συνολική ζήτηση Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 42 από 69;
"43. Σε ποια από τις παρακάτω περιπτώσεις θεωρείτε ότι η αύξηση του ποσοστού των τραπεζικών διαθεσίμων; θα μπορούσε να αποτελέσει αποτελεσματικό μέτρο;";α. Για την αντιμετώπιση του πληθωρισμού ζήτησης;β. Για την αντιμετώπιση του στασιμοπληθωρισμού;γ. Για την αντιμετώπιση της ύφεσης;δ. Για την αντιμετώπιση της ακρίβειας;
44. Σε τι αναφέρεται η καμπύλη Philips;;α. Στη σχέση ανάμεσα στο πραγματικό και το ονομαστικό ΑΕΠ;β. Στην βραχυχρόνια αντίστροφη σχέση μεταξύ πληθωρισμού και ανεργίας;γ. Στην αντίστροφη σχέση μεταξύ των φορολογικών συντελεστών και φορολογικών εσόδων;δ. Στη σχέση άμεσων και έμμεσων φόρων;
45. Ποιο από το παρακάτω μέτρα θεωρείτε ότι εντάσσεται σε ενδεδειγμένη πολιτική για την αντιμετώπιση του πληθωρισμού κόστους;;α. Η αύξηση των έμμεσων φόρων στον καπνό;β. Η μείωση του ΦΠΑ στα υλικά οικοδομής;γ. Η ισόποση αύξηση φόρων στα καύσιμα;δ. Η δραστική αναλογική μείωση των συντάξεων;
46. Για την καταπολέμηση του πληθωρισμού κόστους ενδείκνυνται μέτρα τα οποία επηρεάζουν κυρίως:;α. Την πλευρά της ζήτησης της οικονομίας;β. Την πλευρά της προσφοράς;γ. Τα έσοδα από τους άμεσους φόρους;δ. Τα έσοδα από τους έμμεσους φόρους;
47. Η βιώσιμη ανάπτυξη:;α. Αφορά στη διαχρονική αύξηση του πραγματικού ΑΕΠ (Ακαθάριστο Εγχώριο Προϊόν);β. Αφορά στην ποιοτική αναβάθμιση του εκπαιδευτικού συστήματος;"γ. Αφορά στην κάλυψη των αναγκών του παρόντος; λαμβάνοντας υπ’ όψη τις ανάγκες των μελλοντικών γενεών";δ. Αφορά στην ποιοτική αναβάθμιση των συστημάτων υγείας και την αύξηση του προσδόκιμου ζωής;
48. Ποιο από τα παρακάτω μέτρα θεωρείτε ότι αποτελεί υποστηρικτικό μέτρο βιώσιμης ανάπτυξης;;α. Η μείωση του κόστους ζωής που προέρχεται από επιδότηση μονάδας παραγωγής ενέργειας με λιγνίτη;β. Η επιδότηση φωτοβολταϊκών συστημάτων παροχής ενέργειας;γ. Η επιδότηση μονάδων παροχής ενέργειας φυσικού αερίου;δ. Η επιδότηση γεωτρήσεων για την εξόρυξη αργού πετρελαίου Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 43 από 69;
49. Οι τρείς Πυλώνες της Βιώσιμης Ανάπτυξης είναι:;α. Περιβάλλον-Οικονομία-Ισότητα;β. Οικονομία-Ισότητα-Κοινωνία;γ. Περιβάλλον-Οικονομία-Κοινωνία;δ. Οικονομία-Περιβάλλον-Ισότητα;
50. Το δημόσιο χρέος στις περισσότερες αναλύσεις και τις οικονομικές εκθέσεις καταγράφεται ως ποσοστό:;α. Του συνόλου των δαπανών του δημοσίου;β. Του συνόλου των εσόδων του δημοσίου;γ. Του συνόλου του κρατικού προϋπολογισμού;δ. Του Ακαθάριστου Εγχώριου Προϊόντος (ΑΕΠ);
51. Ο ετήσιος Κρατικός Προϋπολογισμός διακρίνεται σε:;α. Προϋπολογισμό υπουργείων και προϋπολογισμό οργανισμών τοπικής αυτοδιοίκησης;β. Τακτικό προϋπολογισμό και προϋπολογισμό δημοσίων επενδύσεων;γ. Τακτικό προϋπολογισμό και έκτακτο προϋπολογισμό;δ. Τακτικό προϋπολογισμό και απολογισμό;
"52. Εάν υποθέσουμε ότι σε μια χώρα ο συντελεστής εισφορών παραμένει διαχρονικά σταθερός; ενώ ο πληθυσμός και οι μισθοί αυξάνονται με σταθερό ρυθμό; τότε οι παροχές ενός μη κεφαλαιοποιητικού συστήματος κοινωνικής ασφάλισης γίνονται σχετικά πιο συμφέρουσες:";α. Για τις παλαιότερες γενιές (εκτός της πρώτης);β. Για τις νεότερες γενιές (εκτός της τελευταίας);γ. Και για τις παλαιότερες και για τις νεότερες γενιές (εκτός της τελευταίας);"δ. Ούτε για τις παλαιότερες; ούτε για τις νεότερες γενιές (εκτός της πρώτης και της τελευταίας";
53. Σύμφωνα με την αρχή της κάθετης φορολογικής ισότητας:;"α. Άτομα που είναι παρόμοια μεταξύ τους; αλλά κάνουν διαφορετικές επιλογές στα οικονομικά ή στον τρόπο ζωής τους; θα πρέπει να αντιμετωπίζονται με τον ίδιο τρόπο από το φορολογικό σύστημα";"β. Άτομα που είναι παρόμοια μεταξύ τους; αλλά κάνουν τις ίδιες επιλογές στα οικονομικά ή στον τρόπο ζωής τους; θα πρέπει να αντιμετωπίζονται με τον ίδιο τρόπο από το φορολογικό σύστημα";γ. Άτομα με περισσότερους πόρους θα πρέπει να πληρώνουν υψηλότερους φόρους σε σχέση με άτομα με λιγότερους πόρους;δ. Άτομα με περισσότερους πόρους θα πρέπει να πληρώνουν τους ίδιους φόρους με άτομα με λιγότερους πόρους;
54. Ποια από τις παρακάτω ΔΕΝ αποτελεί λειτουργία του δημόσιου προϋπολογισμού:;α. Η ανάπτυξη της οικονομίας;β. Η αύξηση της προσφοράς χρήματος;γ. Η σταθεροποίηση της οικονομίας;δ. Η αναδιανομή του εισοδήματος Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 44 από 69;
55. Ο στόχος της ιδιωτικοποίησης δημοσίων επιχειρήσεων είναι:;α. Η μείωση της φορολογίας;β. Η μείωση του μεγέθους του ευρύτερου δημόσιου τομέα;γ. Η εξασθένηση της δύναμης των εργατικών οργανώσεων;δ. Όλες οι λοιπές προτάσεις που παρατίθενται είναι σωστές;
56. Ο Φόρος Προστιθέμενης Αξίας είναι:;α. Φόρος κατανάλωσης;β. Έμμεσος και απρόσωπος φόρος;γ. Φόρος που επιβάλλεται από την κεντρική διοίκηση;δ. Όλες οι λοιπές προτάσεις που παρατίθενται είναι σωστές;
57. Ποιο από τα παρακάτω ΔΕΝ είναι ορθό;;α. Οι άμεσοι φόροι επιβάλλονται επί της τιμής των αγαθών;β. Ο Ειδικός φόρος κατανάλωσης εντάσσεται στην κατηγορία των έμμεσων φόρων;γ. Ο Φόρος Προστιθέμενης Αξίας εντάσσεται στους απρόσωπους φόρους;δ. Ο Φόρος Περιουσίας αξίας είναι άμεσος φόρος;
58. Σύμφωνα με την αρχή της «οριζόντιας φορολογικής ισότητας»:;α. Τα πιο εύπορα άτομα πρέπει να φορολογούνται περισσότερο από τα λιγότερο εύπορα άτομα;β. Άτομα που έχουν ίδια φοροδοτική ικανότητα πρέπει να φορολογούνται το ίδιο;γ. Άτομα που έχουν ίδιο εκπαιδευτικό επίπεδο πρέπει να φορολογούνται το ίδιο;δ. Όλες οι λοιπές προτάσεις είναι σωστές;
59. Ο Φόρος Προστιθέμενης Αξίας είναι:;α. Προσωπικός φόρος;β. Έμμεσος φόρος;γ. Φόρος κατά μονάδα προϊόντος;δ. Όλες οι λοιπές προτάσεις είναι σωστές;
60. Ποιος από τους παρακάτω φόρους ΔΕΝ είναι έμμεσος φόρος;;α. Ένας ειδικός φόρος στα τσιγάρα;β. Ένας φόρος επί των πωλήσεων αυτοκινήτων;γ. Ένας φόρος στην εστίαση;δ. Ο φόρος κληρονομιάς;
"61. Όταν ένας φόρος είναι αντίστροφα προοδευτικός με θετικό οριακό φορολογικό συντελεστή; τότε όταν αυξάνεται το εισόδημα:";"α. Ο συνολικός φόρος μειώνεται; ο μέσος φορολογικός συντελεστής μειώνεται; ο οριακός φορολογικός συντελεστής μειώνεται";"β. Ο συνολικός φόρος αυξάνεται; ο μέσος φορολογικός συντελεστής μειώνεται; ο οριακός φορολογικός συντελεστής αυξάνεται";"γ. Ο συνολικός φόρος μειώνεται; ο μέσος φορολογικός συντελεστής μειώνεται; ο οριακός φορολογικός συντελεστής αυξάνεται";"δ. Ο συνολικός φόρος αυξάνεται; ο μέσος φορολογικός συντελεστής μειώνεται; ο οριακός φορολογικός συντελεστής μειώνεται Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 45 από 69";
62. Τι από τα παρακάτω θεωρείται φοροαποφυγή:;α. Η μη έκδοση φορολογικής απόδειξης.;β. Η αδήλωτη εργασία.;γ. Η μεταφορά της φορολογικής έδρας στο Λουξεμβούργο;δ. Όλες οι λοιπές προτάσεις είναι σωστές;
63. Όταν ο προϋπολογισμός εμφανίζει έλλειμμα και το κράτος πληρώνει τόκους για δάνεια που έχει λάβει τότε:;α. Το πρωτογενές έλλειμμα είναι μεγαλύτερο του ελλείματος του προϋπολογισμού;β. Το πρωτογενές έλλειμμα είναι ίσο του ελλείματος του προϋπολογισμού;γ. Το πρωτογενές έλλειμμα είναι μικρότερο του ελλείματος του προϋπολογισμού;δ. Υπάρχουν και άλλοι παράγοντες που επηρεάζουν το πρωτογενές έλλειμμα οπότε δεν μπορούμε να απαντήσουμε;
64. Ποιο από τα παρακάτω ΔΕΝ αποτελεί μέσο δράσης του κράτους;;α. Η αύξηση του βασικού επιτοκίου της μη ανεξάρτητης Κεντρικής Τράπεζας;β. Η αύξηση της τιμής του αργού πετρελαίου;γ. Επιβολή ανώτατων τιμών στα προϊόντα που πουλάνε οι καντίνες των πλοίων;δ. Ο φόρος κατανάλωσης στα προϊόντα καπνού;
