Ερώτηση;Α;Β;Γ;Δ;Σωστή
16. Ειδικά για την πλήρωση θέσεων Ειδικευμένου Επιστημονικού Προσωπικού (Ε.Ε.Π.) σε φορείς του δημοσίου τομέα απαιτείται και: ; Συμμετοχή σε πρακτική δοκιμασία των υποψηφίων;  Τεστ προσομοίωσης στο αντικείμενο απασχόλησης  Συμμετοχή σε εξέταση ειδικών γνώσεων ; Δομημένη συνέντευξη των υποψηφίων;Δ
17. Σύμφωνα με τον ν.4765/2021, ποιο τυπικό προσόν ΔΕΝ δίνει προσαύξηση στη βαθμολογία του πανελλήνιου γραπτού διαγωνισμού του Ανώτατου Συμβουλίου Επιλογής Προσωπικού (Σ.Ε.Π.); Ο βαθμός του βασικού τίτλου σπουδών; Ο χρόνος εργασιακής εμπειρίας; Η άριστη γνώση αγγλικής γλώσσας; Η κατοχή αποδεκτού μεταπτυχιακού τίτλου;Α
18. Ποιο από τα παρακάτω είναι ορθό σύμφωνα με τον ν. 4440/2016; Γενικό περίγραμμα θέσης εργασίας ορίζεται ο εξειδικευμένος κατάλογος καθηκόντων τα οποία καλείται να εκτελέσει ένας/μία δημόσιος/α υπάλληλος, καθώς και οι σχετικές με τη συγκεκριμένη θέση εργασίας που κατέχει, πληροφορίες, όπως π.χ. η προϊσταμένη αρχή; Το πρόγραμμα κινητικότητας διενεργείται μία φορά ετησίως και αφορά στην κάλυψη θέσεων με μετάταξη και στην προσωρινή κάλυψη θέσεων με απόσπαση; Η κινητικότητα έχει εθελούσιο χαρακτήρα για τους/τις δημοσίους υπαλλήλους και διενεργείται με βάση την αρχή της δημοσιότητας; Τα Περιγράμματα Θέσεων Εργασίας αποτελούν βασικό στοιχείο του Ενιαίου Συστήματος Κινητικότητας μόνο για την κάλυψη θέσεων με απόσπαση;Γ
19. Σύμφωνα με τον ν. 4440/2016, τι από τα παρακάτω ισχύει για την Κεντρική Επιτροπή Κινητικότητας; Γνωμοδοτεί για αιτήματα υπαλλήλων για συνυπηρέτηση; Έχει θητεία δύο (2) ετών; Είναι πενταμελής;  Αποτελείται από τρία (3) μέλη του Α.Σ.Ε.Π. (Ανώτατο Συμβούλιο Επιλογής Προσωπικού);Α
20. Η μετακίνηση από μία δημόσια υπηρεσία σε άλλη στο πλαίσιο του Ενιαίου Συστήματος Κινητικότητας (Ε.Σ.Κ.) διενεργείται ως:; Μετάταξη και κατ΄ εξαίρεση ως απόσπαση; Μετάθεση; Μετακίνηση; Απόσπαση και κατ’ εξαίρεση ως μετάταξη;Α
21. Σύμφωνα με τον ν. 4440/2016, ποιοι υπάλληλοι δύνανται να συμμετέχουν στο Ενιαίο Σύστημα Κινητικότητας (Ε.Σ.Κ.); Οι απόφοιτοι της Εθνικής Σχολής Δημόσιας Διοίκησης και Αυτοδιοίκησης (Ε.Σ.); Οι δικαστικοί υπάλληλοι; Οι υπάλληλοι φύλαξης των Σωφρονιστικών Καταστημάτων; Οι εκπαιδευτικοί πρωτοβάθμιας και δευτεροβάθμιας εκπαίδευσης;Α
22. Ποιος είναι ο πρωταρχικός σκοπός ενός γενικού περιγράμματος θέσης εργασίας; Η λεπτομερής περιγραφή των καθηκόντων μιας συγκεκριμένης θέσης; Η συνοπτική παρουσίαση των κύριων δεξιοτήτων μιας ειδικότητας; Ο ακριβής προσδιορισμός των μισθολογικών αποδοχών και ωραρίου εργασίας; Η αποτίμηση της υπηρεσιακής επάρκειας για μια συγκεκριμένη θέση;Β
23. Η θέσπιση του Ενιαίου Πλαισίου Δεξιοτήτων για τους/τις υπαλλήλους που υπηρετούν στους φορείς του δημόσιου τομέα, λαμβάνεται υπόψη κατά τον σχεδιασμό και την υλοποίηση:"; Διαδικασιών επιλογής προσωπικού και Προϊσταμένων; Διαδικασιών επιλογής Προϊσταμένων;" Αξιολόγησης, εκπαίδευσης και κατάρτισης των υπαλλήλων";" Διαδικασιών επιλογής, αξιολόγησης, εκπαίδευσης και κατάρτισης των υπαλλήλων";Δ
24. Η «Ομαδικότητα» ως δεξιότητα του Ενιαίου Πλαισίου Δεξιοτήτων ΔΕΝ περιλαμβάνει:; Τη συνεχή προσπάθεια υποστήριξης των συναδέλφων με ηρεμία και ευγένεια; Τη θετική διάθεση και την προσπάθεια συνεργασίας χωρίς εντάσεις; Την ευελιξία και ανθεκτικότητα του/της υπαλλήλου στις τυχόν αλλαγές; Τη συνεργασία με τους/τις συναδέλφους/ισσες προς εκπλήρωση του δημόσιου συμφέροντος;Γ
25. Ποια από τα κάτωθι ΔΕΝ συμπεριλαμβάνεται στην «Ηγετικότητα», σύμφωνα με το Ενιαίο Πλαίσιο Δεξιοτήτων;"; Η δημιουργία του απαραίτητου κλίματος καλλιέργειας σχέσεων εμπιστοσύνης μεταξύ της/του υπαλλήλου και των συναδέλφων της/του για την επίτευξη των στόχων της ομάδας; Η έγκαιρη και αποτελεσματική λήψη αποφάσεων για την αντιμετώπιση καθημερινών και έκτακτων προβλημάτων; Η αυξημένη προθυμία και ικανότητα για μάθηση και αποτελεσματική χρήση της αποκτηθείσας γνώσης προς όφελος της υπηρεσίας; Η ικανότητα καθοδήγησης της δραστηριότητας της ομάδας προς επίτευξη ενός κοινού στόχου;Γ
26. H έκθεση αξιολόγησης του/της δημοσίου/ας υπαλλήλου περιλαμβάνει:;Την υποχρεωτική επιλογή τριών (3) δεξιοτήτων προς ανάπτυξη και την ειδική αιτιολογία, όπου αυτή απαιτείται;Την υποχρεωτική επιλογή μίας (1) δεξιότητας προς ανάπτυξη και μίας (1) έως τριών (3) δυνατών δεξιοτήτων;Την υποχρεωτική επιλογή μίας (1) έως τριών (3) δυνατών δεξιοτήτων και την ειδική αιτιολογία, όπου αυτή απαιτείται;Την υποχρεωτική επιλογή τριών (3) δεξιοτήτων προς ανάπτυξη και μίας (1) έως τριών (3) δυνατών δεξιοτήτων και την ειδική αιτιολογία, όπου αυτή απαιτείταιΔ
27. Σύμφωνα με τον ν. 4940/2022; ποιον από τους παρακάτω σκοπούς εξυπηρετεί η συζήτηση αξιολόγησης μεταξύ αξιολογητή/τριας και αξιολογούμενου/ης δημοσίου/ας υπαλλήλου; Την απλή ανακοίνωση του αποτελέσματος της γραπτής αξιολόγησης; Την αμφίδρομη επικοινωνία για την αποτίμηση της απόδοσης και τη διαμόρφωση του Σχεδίου Ανάπτυξης του/της αξιολογούμενου/ης; Την εξέταση ενστάσεων του/της αξιολογούμενου/ης σε περίπτωση διαφωνίας με την αρχική αξιολόγηση του/της Προϊσταμένου/ης του/της;" Την προαιρετική ανταλλαγή απόψεων μεταξύ αξιολογητή/τριας και αξιολογούμενου/ης; εφόσον το κρίνει σκόπιμο ο/η αξιολογητής/τρια;Β
28. Σύμφωνα με τον ν. 4940/2022; ποιοι/ες υπάλληλοι εξαιρούνται από το σύστημα αξιολόγησης"; Οι υπάλληλοι με σχέση ιδιωτικού δικαίου αορίστου χρόνου των Περιφερειών; Οι ιατροί και οδοντίατροι του κλάδου Δημόσιας Υγείας Ε.Σ.Υ.; Οι θρησκευτικοί λειτουργοί που επιβαρύνουν τον κρατικό προϋπολογισμό; Οι εκπαιδευτικοί της πρωτοβάθμιας και δευτεροβάθμιας εκπαίδευσης με απόσπαση σε διοικητικές υπηρεσίες;Γ
29. Σύμφωνα με τον ν.4049/2022, τι περιλαμβάνεται κατ’ ελάχιστο στην πλατφόρμα ηλεκτρονικής αξιολόγησης των δημοσίων υπαλλήλων;"; Τα ονόματα των αξιολογητών/τριών; Οι ημερομηνίες διεξαγωγής των συζητήσεων αξιολόγησης; Τα στατιστικά δεδομένα αξιολόγησης; Οι λεπτομερείς περιγραφές των δεξιοτήτων των υπαλλήλων;Β
30. Σύμφωνα με τον ν. 4940/2022, αν ΔΕΝ επιτευχθεί συμφωνία μεταξύ αξιολογητή/τριας και αξιολογούμενου/ης κατά τη συζήτηση για την επικαιροποίηση του Σχεδίου Ανάπτυξης του υπαλλήλου:"; Το θέμα παραπέμπεται στο Υπηρεσιακό Συμβούλιο; Ο/Η αξιολογητής/τρια αποφασίζει σχετικά; Ο/Η αξιολογούμενος/η έχει δικαίωμα υποβολής ένστασης; Το Σχέδιο Ανάπτυξης παραμένει σε ισχύ όπως είχε αρχικά συμφωνηθεί;Β
31. Οι ενστάσεις για την αξιολόγηση ενώπιον της Επιτροπής Εποπτείας Αξιολόγησης ασκούνται:; Οποτεδήποτε επιθυμεί ο/η αξιολογούμενος/η  Μέσα σε αποκλειστική προθεσμία τριών (3) μηνών από τη γνωστοποίηση της αξιολόγησης  Μέσα σε αποκλειστική προθεσμία τριών (3) ετών από τη γνωστοποίηση της αξιολόγησης  Μέσα σε αποκλειστική προθεσμία δέκα (10) ημερών από τη γνωστοποίηση της αξιολόγησης;Β
32. Συμβουλευτική συνδρομή και υποστήριξη στο προσωπικό του υπουργείου, ιδίως αναφορικά με θέματα εφαρμογής του συστήματος αξιολόγησης, παρέχεται από την/τον:"; Σύμβουλο Ακεραιότητας του οικείου φορέα; Σύμβουλο Ανάπτυξης Ανθρώπινου Δυναμικού του οικείου φορέα; Υπηρεσιακή/ό Γραμματέα του οικείου φορέα; Γενική/ό Γραμματέα Ανθρώπινου Δυναμικού Δημόσιου Τομέα του Υπουργείου Εσωτερικών;Β
33. Ο χρόνος που διανύεται σε θέση Συμβούλου Ανάπτυξης Ανθρώπινου Δυναμικού λογίζεται ως χρόνος πραγματικής υπηρεσίας σε θέση:; Προϊσταμένου/ης επιπέδου Διεύθυνσης; Προϊσταμένου/ης επιπέδου Τμήματος; Προϊσταμένου/ης επιπέδου Γενικής Διεύθυνσης; Δεν λογίζεται ως χρόνος υπηρεσίας σε θέση Προϊσταμένου/ης;Β
34. Ποιος είναι ο βασικός σκοπός της διαδικασίας στοχοθεσίας στις δημόσιες υπηρεσίες;Η τυπική καταγραφή των καθηκόντων κάθε υπαλλήλου, όπως αυτά περιγράφονται στο οργανόγραμμα του φορέα; Η ποσοτική μέτρηση της απόδοσης κάθε υπαλλήλου, με βάση συγκεκριμένους αριθμητικούς δείκτες; Ο καθορισμός σαφών, μετρήσιμων, εφικτών, σχετικών και χρονικά οριοθετημένων στόχων για κάθε οργανική μονάδα, σε συνάρτηση με το Σχέδιο Δράσης του φορέα; Η διασφάλιση της ομοιόμορφης κατανομής των εργασιών μεταξύ των υπαλλήλων κάθε οργανικής μονάδας;Γ
35. Ποιο είναι το ανώτατο όριο της ετήσιας ανταμοιβής που μπορεί να καταβληθεί σε δημόσιο/α υπάλληλο που δεν κατέχει θέση ευθύνης στο πλαίσιο του συστήματος κινήτρων και ανταμοιβής; Το 10% του ετήσιου βασικού μισθού; Το 15% του ετήσιου βασικού μισθού; Το 20% του ετήσιου βασικού μισθού; Το 25% του ετήσιου βασικού μισθού;Β
36. Οι φορείς του δημοσίου τομέα που θέλουν να πιστοποιηθούν για την ορθή και ολοκληρωμένη εφαρμογή του Κοινού Πλαισίου Αξιολόγησης (Κ.Π.) καλούνται να υποβάλουν:; Έκθεση ανάλυσης κινδύνου για την εφαρμογή του Κ.Π.; Έγγραφο έγκρισης του Κ.Π. από το Υπουργείο Εσωτερικών; Ανάλυση των χρηματοοικονομικών στοιχείων τους; Μελέτη εφαρμογής του Κ.Π.Α και δήλωση πολιτικής ποιότητας;Δ
37. Ποια από τις παρακάτω προτάσεις σχετικά με το Συμβούλιο Επιλογής Προϊσταμένων (Σ.Ε.Π.) του Υπουργείου Εσωτερικών είναι ΛΑΘΟΣ; Διενεργεί την δομημένη συνέντευξη για την επιλογή Προϊσταμένων Γενικής Διεύθυνσης; Είναι αρμόδιο για την επιλογή Προϊσταμένων Διεύθυνσης στους φορείς του δημοσίου τομέα;" Έχει πενταμελή σύνθεση, στην οποία μετέχουν δύο (2) μέλη του Ανώτατου Συμβουλίου Επιλογής Προσωπικού (Α.Σ.Ε.Π.)"; Έχει τριετή θητεία;Α
38. Ο/Η δημόσιος/α υπάλληλος εξυπηρετεί τους πολίτες κατά το ωράριο που έχει επιλέξει και έχει ενημερώσει την υπηρεσία του, αφιερώνοντας εξολοκλήρου και αποκλειστικά τον χρόνο εργασίας του/της στα καθήκοντά του/της. Παραμένει και πέρα του ισχύοντος χρόνου εργασίας:"; Εάν του/της ζητήσει συνάδελφός/ισσα του/της να τον/την βοηθήσει να ολοκληρώσουν κάποιες εκκρεμότητες; Προκειμένου να διευκολύνει τον/την Προϊστάμενο/η ο/η οποίος/α του/της ζήτησε να παραμείνει για να ολοκληρώσουν κάποιες εκκρεμότητες; Εφόσον έκτακτες και εξαιρετικές υπηρεσιακές ανάγκες το επιβάλλουν; Προκειμένου να ολοκληρώσει κάποιες εκκρεμότητες και επιθυμεί να πληρωθεί υπερωρίες;Γ
39. Καθ’ ύλην αρμόδιος φορέας για την παρακολούθηση και την προώθηση της εφαρμογής της αρχής της ίσης μεταχείρισης και των ίσων ευκαιριών είναι:; Ο/Η Σύμβουλος Ακεραιότητας της Δημόσιας Διοίκησης; Ο/Η Συνήγορος του Πολίτη; Η Γενική Γραμματεία Ισότητας και Ανθρωπίνων Δικαιωμάτων; Η Εθνική Αρχή Διαφάνειας;Β
40. Το Εθνικό Σύστημα Πολυεπίπεδης Διακυβέρνησης εφαρμόζεται:; Στον στενό δημόσιο τομέα; Σε όλα τα νομικά πρόσωπα δημοσίου δικαίου; Σε όλα τα νομικά πρόσωπα δημοσίου και ιδιωτικού δικαίου του δημόσιου τομέα; Στον δημόσιο τομέα και σε όλα τα νομικά πρόσωπα ιδιωτικού δικαίου του δημόσιου τομέα;Δ
41. Η διαβούλευση επί των νομοσχεδίων γίνεται και μέσω του δικτυακού τόπου www.opengov.gr και κατά κανόνα, διαρκεί:; Ένα (1) μήνα;  Δύο (2) μήνες;  Μία (1) εβδομάδα;  Δύο (2) εβδομάδες;Β
